family,policy,metric,point,low,high,lower95,upper95,classes,seeds,sets,units,valid_units,undefined_units,aggregation,unit,estimand,source_observations_sha256
primary,candidate_B,absolute_regret,0.18648293377493813,0.04735443295013846,0.40853177105929345,0.0562652540654004,0.381590627317738,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,0.04313539301865944,0.0368728479061172,0.04965797664841739,0.03775412281222877,0.04861474491754039,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,0.90625,0.8952546296296297,0.9166666666666666,0.8969907407407407,0.9149305555555556,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,0.2108042844121087,0.06302953650198005,0.4368094971345909,0.07416036900513634,0.4025870736935533,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,0.04601709222557546,0.04157486394060079,0.05073311387090411,0.04222249751419234,0.04994255968939477,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,oracle_hit,0.9021990740740741,0.8912037037037037,0.9131944444444444,0.8929398148148149,0.9114583333333333,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,0.2928082242741966,0.12929630935998296,0.5305891380520671,0.14370072445777607,0.49064065508748406,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,normalized_regret,0.18515315058673593,0.1738694999988509,0.19630914744397476,0.17545541595238162,0.19453249541508882,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,oracle_hit,0.6325231481481481,0.6157407407407407,0.6498842592592593,0.6180555555555556,0.6469907407407407,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,absolute_regret,0.18648293377493813,0.04735443295013846,0.40853177105929345,0.0562652540654004,0.381590627317738,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,normalized_regret,0.04313539301865944,0.0368728479061172,0.04965797664841739,0.03775412281222877,0.04861474491754039,16,4,27,1728,1728,0,equal_set_mean_then_equal_seed_mean_then_equal_class_mean,class_block,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
