family,left,right,metric,class_index,difference,estimand,unit,class_id,source_observations_sha256
primary,candidate_B,energy,absolute_regret,0,-0.39441104938908805,retrospective_public_scalar_reanalysis,paired_class_mean,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,1,-0.13407414108484383,retrospective_public_scalar_reanalysis,paired_class_mean,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,2,-0.05267713792905687,retrospective_public_scalar_reanalysis,paired_class_mean,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,3,-0.02050945903431745,retrospective_public_scalar_reanalysis,paired_class_mean,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,4,-0.06553365572661124,retrospective_public_scalar_reanalysis,paired_class_mean,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,5,-0.03649610440357566,retrospective_public_scalar_reanalysis,paired_class_mean,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,6,-0.01788665123288153,retrospective_public_scalar_reanalysis,paired_class_mean,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,7,-0.0598216865368254,retrospective_public_scalar_reanalysis,paired_class_mean,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,8,-0.14303692397126974,retrospective_public_scalar_reanalysis,paired_class_mean,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,9,-0.08370761342509751,retrospective_public_scalar_reanalysis,paired_class_mean,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,10,-0.39542036783308515,retrospective_public_scalar_reanalysis,paired_class_mean,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,11,-0.05140066368519204,retrospective_public_scalar_reanalysis,paired_class_mean,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,12,-0.0714952144156755,retrospective_public_scalar_reanalysis,paired_class_mean,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,13,-0.06719012555421669,retrospective_public_scalar_reanalysis,paired_class_mean,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,14,-0.058157424612287845,retrospective_public_scalar_reanalysis,paired_class_mean,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,15,-0.04938642915411037,retrospective_public_scalar_reanalysis,paired_class_mean,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,0,-0.12338110317997697,retrospective_public_scalar_reanalysis,paired_class_mean,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,1,-0.12039412560343203,retrospective_public_scalar_reanalysis,paired_class_mean,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,2,-0.09383027468280122,retrospective_public_scalar_reanalysis,paired_class_mean,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,3,-0.13796938952450502,retrospective_public_scalar_reanalysis,paired_class_mean,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,4,-0.15992542795332934,retrospective_public_scalar_reanalysis,paired_class_mean,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,5,-0.14004566487209125,retrospective_public_scalar_reanalysis,paired_class_mean,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,6,-0.15926727549686082,retrospective_public_scalar_reanalysis,paired_class_mean,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,7,-0.1278392246299761,retrospective_public_scalar_reanalysis,paired_class_mean,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,8,-0.16618164459056642,retrospective_public_scalar_reanalysis,paired_class_mean,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,9,-0.1564468730665084,retrospective_public_scalar_reanalysis,paired_class_mean,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,10,-0.13929458228214636,retrospective_public_scalar_reanalysis,paired_class_mean,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,11,-0.18028986729790228,retrospective_public_scalar_reanalysis,paired_class_mean,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,12,-0.1205733342749731,retrospective_public_scalar_reanalysis,paired_class_mean,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,13,-0.13751722601963287,retrospective_public_scalar_reanalysis,paired_class_mean,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,14,-0.15251595963355014,retrospective_public_scalar_reanalysis,paired_class_mean,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,15,-0.15681214798097098,retrospective_public_scalar_reanalysis,paired_class_mean,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,0,0.2592592592592592,retrospective_public_scalar_reanalysis,paired_class_mean,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,1,0.2222222222222222,retrospective_public_scalar_reanalysis,paired_class_mean,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,2,0.17592592592592593,retrospective_public_scalar_reanalysis,paired_class_mean,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,3,0.2870370370370371,retrospective_public_scalar_reanalysis,paired_class_mean,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,4,0.30555555555555547,retrospective_public_scalar_reanalysis,paired_class_mean,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,5,0.2314814814814815,retrospective_public_scalar_reanalysis,paired_class_mean,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,6,0.30555555555555547,retrospective_public_scalar_reanalysis,paired_class_mean,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,7,0.31481481481481477,retrospective_public_scalar_reanalysis,paired_class_mean,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,8,0.287037037037037,retrospective_public_scalar_reanalysis,paired_class_mean,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,9,0.2777777777777777,retrospective_public_scalar_reanalysis,paired_class_mean,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,10,0.2777777777777777,retrospective_public_scalar_reanalysis,paired_class_mean,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,11,0.34259259259259256,retrospective_public_scalar_reanalysis,paired_class_mean,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,12,0.2777777777777777,retrospective_public_scalar_reanalysis,paired_class_mean,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,13,0.2129629629629629,retrospective_public_scalar_reanalysis,paired_class_mean,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,14,0.2962962962962963,retrospective_public_scalar_reanalysis,paired_class_mean,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
