family,policy,metric,class_id,value,sets,seeds,unit,estimand,source_observations_sha256
primary,candidate_B,absolute_regret,19,0.025881457585745407,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,85,1.7298820730436326,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,131,0.0243339829394436,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,224,0.03082105108436377,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,301,0.2410519472181289,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,345,0.0056616324883842824,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,384,0.000559507831088894,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,462,0.0984145470808711,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,511,0.018677493449035583,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,568,0.029984523887225473,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,679,0.18305654612914274,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,712,0.030832003514506184,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,780,0.01810339251683567,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,870,0.013625043624148165,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,888,0.32572263867350476,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,absolute_regret,975,0.20711909933295328,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,19,0.034351488801935816,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,85,0.04142248564492647,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,131,0.051653958045515314,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,224,0.050397315918981084,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,301,0.06530384020399096,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,345,0.034391710470735026,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,384,0.02427683529475184,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,462,0.05026985239182222,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,511,0.05110937797905021,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,568,0.027965343272280344,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,679,0.07033178749690845,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,712,0.02937072201118787,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,780,0.029251790573996937,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,870,0.04569178330729348,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,888,0.05106068701099781,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,normalized_regret,975,0.03331730987417729,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,19,0.9259259259259259,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,85,0.9166666666666666,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,131,0.8703703703703703,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,224,0.8981481481481483,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,301,0.8703703703703703,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,345,0.8703703703703703,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,384,0.9259259259259259,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,462,0.9259259259259259,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,511,0.9259259259259258,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,568,0.9074074074074073,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,679,0.8888888888888888,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,712,0.9351851851851851,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,780,0.9259259259259258,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,870,0.8888888888888888,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,888,0.8981481481481481,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,oracle_hit,975,0.925925925925926,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,19,0.030924617916964242,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,85,1.741789106381054,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,131,0.02052700123928996,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,224,0.03441089336783174,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,301,0.2524034304778764,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,345,0.0064183657533250105,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,384,0.0056217186773358015,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,462,0.0977531845849334,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,511,0.033872922669719266,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,568,0.08594541745260274,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,679,0.335434161177422,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,712,0.032349617378228834,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,780,0.025069029803961997,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,870,0.014412818423113337,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,888,0.33331949245684533,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,absolute_regret,975,0.32261677283323487,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,19,0.03747806425617908,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,85,0.0504842368663969,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,normalized_regret,131,0.04446546168653617,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
