family,set_id,left,right,units,changed,helped,hurt,same_risk,estimand,source_observations_sha256
primary,ALL,candidate_B,energy,1728,611,547,64,1117,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,candidate_B,energy,64,64,64,0,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,candidate_B,energy,64,6,6,0,58,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,candidate_B,energy,64,36,29,7,28,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,candidate_B,energy,64,51,40,11,13,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,candidate_B,energy,64,58,58,0,6,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,candidate_B,energy,64,4,4,0,60,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,candidate_B,energy,64,3,3,0,61,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,candidate_B,energy,64,30,30,0,34,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,candidate_B,energy,64,64,64,0,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,candidate_B,energy,64,43,40,3,21,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,candidate_B,energy,64,43,43,0,21,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,candidate_B,energy,64,64,63,1,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,candidate_B,energy,64,3,3,0,61,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,candidate_B,energy,64,40,25,15,24,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,candidate_B,energy,64,32,17,15,32,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,candidate_B,energy,64,7,7,0,57,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,candidate_B,energy,64,63,51,12,1,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,candidate_B,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,candidate_B,constant,1728,105,58,47,1623,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,candidate_B,constant,64,33,22,11,31,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,candidate_B,constant,64,13,2,11,51,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,candidate_B,constant,64,3,3,0,61,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,candidate_B,constant,64,24,13,11,40,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,candidate_B,constant,64,32,18,14,32,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,candidate_B,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,candidate_B,latest_stage,1728,162,92,70,1566,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
