family,class_id,seed,set_id,policy,selected,selected_stage,oracle_stage,candidate_count,saving_bits,selected_probability_json,unit,estimand,oracle,absolute_regret,normalized_regret,resolved,risk_range,range_tau,selected_Y,oracle_Y,oracle_hit,all_minima_hit,source_observations_sha256
primary,19,79,primary_019d7c31a48b,constant,mlp_up_gate_all_blocks_stage15_w8,15,15,3,1189085184,"{""mlp_up_gate_all_blocks_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w8,0.0,0.0,True,0.02031685194714328,1e-12,0.0028899545882836723,0.0028899545882836723,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_019d7c31a48b,energy,mlp_up_gate_all_blocks_stage4_w8,4,15,3,1189085184,"{""mlp_up_gate_all_blocks_stage4_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w8,0.02031685194714328,1.0,True,0.02031685194714328,1e-12,0.023206806535426953,0.0028899545882836723,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_019d7c31a48b,candidate_B,mlp_up_gate_all_blocks_stage15_w8,15,15,3,1189085184,"{""mlp_up_gate_all_blocks_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w8,0.0,0.0,True,0.02031685194714328,1e-12,0.0028899545882836723,0.0028899545882836723,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_019d7c31a48b,hybrid,mlp_up_gate_all_blocks_stage15_w8,15,15,3,1189085184,"{""mlp_up_gate_all_blocks_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w8,0.0,0.0,True,0.02031685194714328,1e-12,0.0028899545882836723,0.0028899545882836723,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_019d7c31a48b,latest_stage,mlp_up_gate_all_blocks_stage15_w8,15,15,3,1189085184,"{""mlp_up_gate_all_blocks_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w8,0.0,0.0,True,0.02031685194714328,1e-12,0.0028899545882836723,0.0028899545882836723,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_019d7c31a48b,stage_position_only,mlp_up_gate_all_blocks_stage15_w8,15,15,3,1189085184,"{""mlp_up_gate_all_blocks_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w8,0.0,0.0,True,0.02031685194714328,1e-12,0.0028899545882836723,0.0028899545882836723,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_019d7c31a48b,pure_G,mlp_up_gate_all_blocks_stage15_w8,15,15,3,1189085184,"{""mlp_up_gate_all_blocks_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w8,0.0,0.0,True,0.02031685194714328,1e-12,0.0028899545882836723,0.0028899545882836723,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_019d7c31a48b,uniform_random_expected,,,15,3,1189085184,"{""mlp_up_gate_all_blocks_stage10_w8"": 0.3333333333333333, ""mlp_up_gate_all_blocks_stage15_w8"": 0.3333333333333333, ""mlp_up_gate_all_blocks_stage4_w8"": 0.3333333333333333}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w8,0.009444477864178681,0.4648593142653015,True,0.02031685194714328,1e-12,0.012334432452462353,0.0028899545882836723,0.3333333333333333,0.3333333333333333,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_39fca70e9e59,constant,input_patch_projection_stage15_w4,15,15,3,221184,"{""input_patch_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w4,0.0,0.0,True,0.7878914049941699,1e-12,0.0484258081655895,0.0484258081655895,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_39fca70e9e59,energy,input_patch_projection_stage15_w4,15,15,3,221184,"{""input_patch_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w4,0.0,0.0,True,0.7878914049941699,1e-12,0.0484258081655895,0.0484258081655895,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_39fca70e9e59,candidate_B,input_patch_projection_stage15_w4,15,15,3,221184,"{""input_patch_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w4,0.0,0.0,True,0.7878914049941699,1e-12,0.0484258081655895,0.0484258081655895,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_39fca70e9e59,hybrid,input_patch_projection_stage15_w4,15,15,3,221184,"{""input_patch_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w4,0.0,0.0,True,0.7878914049941699,1e-12,0.0484258081655895,0.0484258081655895,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_39fca70e9e59,latest_stage,input_patch_projection_stage15_w4,15,15,3,221184,"{""input_patch_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w4,0.0,0.0,True,0.7878914049941699,1e-12,0.0484258081655895,0.0484258081655895,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_39fca70e9e59,stage_position_only,input_patch_projection_stage15_w4,15,15,3,221184,"{""input_patch_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w4,0.0,0.0,True,0.7878914049941699,1e-12,0.0484258081655895,0.0484258081655895,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
