rank,direction,family,class_id,seed,set_id,left,right,left_selected,right_selected,decision_changed,absolute_difference,normalized_difference,estimand,unit,source_observations_sha256
1,largest_worsening,primary,780,80,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,True,0.8441270679809918,0.7008637018621795,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
2,largest_worsening,primary,870,79,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,0.45709897282490897,0.4355581586883711,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
3,largest_worsening,primary,131,82,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,0.2132745979447499,0.6447845907009659,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
4,largest_worsening,primary,870,80,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,True,0.19428626960483086,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
5,largest_worsening,primary,131,80,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,True,0.16089950683233667,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
6,largest_worsening,primary,301,80,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,0.14286733580762245,0.10783618985287989,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
7,largest_worsening,primary,345,80,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,True,0.10541340067578629,0.7564107594889176,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
8,largest_worsening,primary,301,80,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,True,0.0925186625489829,0.7434672570602937,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
9,largest_worsening,primary,888,81,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,0.07828465028039489,0.06952758263547495,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
10,largest_worsening,primary,19,79,primary_da06c09aa41a,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,True,0.06649978278773006,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
