family,left,right,metric,class_index,full_point,leave_one_class_out_point,change_from_full,estimand,class_id,source_observations_sha256
primary,candidate_B,energy,absolute_regret,0,-0.10632529049925843,-0.08711957323993644,0.01920571725932199,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,1,-0.10632529049925843,-0.10447536712688606,0.0018499233723723724,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,2,-0.10632529049925843,-0.10990183400393852,-0.003576543504680091,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,3,-0.10632529049925843,-0.11204634593025449,-0.005721055430996061,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,4,-0.10632529049925843,-0.10904473281743489,-0.00271944231817646,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,5,-0.10632529049925843,-0.11098056957230393,-0.0046552790730454985,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,6,-0.10632529049925843,-0.11222119978368354,-0.005895909284425113,retrospective_influence_no_class_deleted_from_main,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,7,-0.10632529049925843,-0.10942553076342063,-0.0031002402641621962,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,8,-0.10632529049925843,-0.10387784826779099,0.0024474422314674366,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,9,-0.10632529049925843,-0.10783313563753581,-0.0015078451382773833,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,10,-0.10632529049925843,-0.08705228534366997,0.019273005155588455,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,11,-0.10632529049925843,-0.10998693228686286,-0.0036616417876044333,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,12,-0.10632529049925843,-0.10864729557149728,-0.0023220050722388558,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,13,-0.10632529049925843,-0.10893430149559455,-0.0026090109963361197,retrospective_influence_no_class_deleted_from_main,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,14,-0.10632529049925843,-0.10953648155838981,-0.0032111910591313825,retrospective_influence_no_class_deleted_from_main,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,absolute_regret,15,-0.10632529049925843,-0.11012121458893497,-0.003795924089676536,retrospective_influence_no_class_deleted_from_main,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,0,-0.14201775756807644,-0.14326020119394975,-0.0012424436258733074,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,1,-0.14201775756807644,-0.1434593330323861,-0.0014415754643096468,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,2,-0.14201775756807644,-0.1452302564270948,-0.0032124988590183645,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,3,-0.14201775756807644,-0.14228764877098124,-0.0002698912029047984,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,4,-0.14201775756807644,-0.14082391287572626,0.0011938446923501767,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,5,-0.14201775756807644,-0.14214923041447547,-0.0001314728463990278,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,6,-0.14201775756807644,-0.1408677897061575,0.0011499678619189546,retrospective_influence_no_class_deleted_from_main,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,7,-0.14201775756807644,-0.14296299309728316,-0.0009452355292067227,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,8,-0.14201775756807644,-0.14040683176657712,0.0016109258014993244,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,9,-0.14201775756807644,-0.14105581653484764,0.0009619410332288025,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,10,-0.14201775756807644,-0.14219930258713845,-0.00018154501906200715,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,11,-0.14201775756807644,-0.13946628358608806,0.002551473981988378,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,12,-0.14201775756807644,-0.14344738578761665,-0.0014296282195402077,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,13,-0.14201775756807644,-0.14231779300463934,-0.000300035436562901,retrospective_influence_no_class_deleted_from_main,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,14,-0.14201775756807644,-0.14131787743037819,0.0006998801376982555,retrospective_influence_no_class_deleted_from_main,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,15,-0.14201775756807644,-0.14103146487388346,0.0009862926941929806,retrospective_influence_no_class_deleted_from_main,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,0,0.27372685185185186,0.27469135802469136,0.0009645061728394966,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,1,0.27372685185185186,0.27716049382716046,0.003433641975308599,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,2,0.27372685185185186,0.2802469135802469,0.006520061728395032,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,3,0.27372685185185186,0.2728395061728394,-0.0008873456790124412,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,4,0.27372685185185186,0.2716049382716049,-0.002121913580246937,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,5,0.27372685185185186,0.2765432098765432,0.0028163580246913233,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,6,0.27372685185185186,0.2716049382716049,-0.002121913580246937,retrospective_influence_no_class_deleted_from_main,384,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,7,0.27372685185185186,0.2709876543209876,-0.002739197530864268,retrospective_influence_no_class_deleted_from_main,462,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,8,0.27372685185185186,0.2728395061728394,-0.0008873456790124412,retrospective_influence_no_class_deleted_from_main,511,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,9,0.27372685185185186,0.27345679012345675,-0.0002700617283951101,retrospective_influence_no_class_deleted_from_main,568,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,10,0.27372685185185186,0.27345679012345675,-0.0002700617283951101,retrospective_influence_no_class_deleted_from_main,679,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,11,0.27372685185185186,0.26913580246913577,-0.004591049382716095,retrospective_influence_no_class_deleted_from_main,712,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,12,0.27372685185185186,0.27345679012345675,-0.0002700617283951101,retrospective_influence_no_class_deleted_from_main,780,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,13,0.27372685185185186,0.27777777777777773,0.0040509259259258745,retrospective_influence_no_class_deleted_from_main,870,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,14,0.27372685185185186,0.27222222222222214,-0.0015046296296297168,retrospective_influence_no_class_deleted_from_main,888,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,15,0.27372685185185186,0.27160493827160487,-0.0021219135802469924,retrospective_influence_no_class_deleted_from_main,975,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,0,-0.02432135063717053,-0.025606563324233982,-0.0012852126870634521,retrospective_influence_no_class_deleted_from_main,19,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,1,-0.02432135063717053,-0.02514897179048714,-0.00082762115331661,retrospective_influence_no_class_deleted_from_main,85,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,2,-0.02432135063717053,-0.026196572792992145,-0.0018752221558216153,retrospective_influence_no_class_deleted_from_main,131,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,3,-0.02432135063717053,-0.025703451194084036,-0.0013821005569135056,retrospective_influence_no_class_deleted_from_main,224,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,4,-0.02432135063717053,-0.025186008462332068,-0.0008646578251615376,retrospective_influence_no_class_deleted_from_main,301,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,5,-0.02432135063717053,-0.025892325128652523,-0.0015709744914819933,retrospective_influence_no_class_deleted_from_main,345,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
