table,metric,key,main,independent,abs_diff,relative_diff,tolerance,scaled_error,passed,checked_rows
baseline_results,high,"[""primary"", ""uniform_random_expected"", ""absolute_regret""]",27.700159962038196,27.700159962038192,3.552713678800501e-15,1.282560708555233e-16,2.7710159962038194e-09,1.2820978600150906e-06,True,24
baseline_results,low,"[""primary"", ""uniform_random_expected"", ""absolute_regret""]",24.171067621730092,24.17106762173009,3.552713678800501e-15,1.469820751983072e-16,2.418106762173009e-09,1.4692129125051072e-06,True,24
baseline_results,lower95,"[""primary"", ""uniform_random_expected"", ""absolute_regret""]",24.472403278435966,24.47240327843597,3.552713678800501e-15,1.451722431335953e-16,2.448240327843597e-09,1.4511294656802426e-06,True,24
baseline_results,point,"[""primary"", ""constant"", ""absolute_regret""]",0.2108042844121087,0.2108042844121087,0.0,0.0,2.208042844121087e-11,0.0,True,24
baseline_results,upper95,"[""primary"", ""constant"", ""absolute_regret""]",0.4025870736935533,0.4025870736935533,0.0,0.0,4.1258707369355335e-11,0.0,True,24
class_differences,class_index,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret"", ""19""]",0,0,0,,0,0,True,336
class_differences,difference,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret"", ""19""]",-0.39441104938908805,-0.39441104938908805,0.0,0.0,4.044110493890881e-11,0.0,True,336
decisions,absolute_regret,"[""primary"", ""224"", ""79"", ""primary_494f26df6416"", ""uniform_random_expected""]",0.0312652327829959,0.03126523278299592,2.0816681711721685e-17,6.658092666766632e-16,4.126523278299592e-12,5.0446054239392476e-06,True,13824
decisions,all_minima_hit,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",1.0,1.0,0.0,0.0,1.01e-10,0.0,True,13824
decisions,candidate_count,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",3,3,0,,0,0,True,13824
decisions,normalized_regret,"[""primary"", ""462"", ""82"", ""primary_52112c337d08"", ""uniform_random_expected""]",0.38585378729928593,0.38585378729928516,7.771561172376096e-16,2.0141207442258734e-15,3.958537872992852e-11,1.963240322998453e-05,True,13824
decisions,oracle,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage15_w8,0,,0,0,True,13824
decisions,oracle_Y,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",0.0028899545882836723,0.0028899545882836723,0.0,0.0,1.2889954588283673e-12,0.0,True,13824
decisions,oracle_hit,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",1.0,1.0,0.0,0.0,1.01e-10,0.0,True,13824
decisions,oracle_stage,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",15,15,0,,0,0,True,13824
decisions,range_tau,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",1e-12,1e-12,0.0,0.0,1.0000000001e-12,0.0,True,13824
decisions,resolved,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",True,True,0,,0,0,True,13824
decisions,risk_range,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",0.02031685194714328,0.02031685194714328,0.0,0.0,3.031685194714328e-12,0.0,True,13824
decisions,saving_bits,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",1189085184,1189085184,0,,0,0,True,13824
decisions,selected,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""constant""]",mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage15_w8,0,,0,0,True,13824
decisions,selected_Y,"[""primary"", ""131"", ""79"", ""primary_abefa8b91ecd"", ""uniform_random_expected""]",713.6188637652402,713.61886376524,2.2737367544323206e-13,3.186206068650553e-16,7.136288637652401e-08,3.186161420707758e-06,True,13824
