family,set_id,group,bits,saving_bits,units,majority_candidate,majority_rate,oracle_entropy_bits,fully_fixed,oracle_tie_units,empirical_best_fixed_abs_candidate,H_abs,empirical_best_fixed_nr_candidate,H_normalized,headroom_normalized_valid_units,majority_equals_minimum_expected_risk,majority_stage,eligible_exploratory_subset,candidate_frequencies_json,unit,estimand,source_observations_sha256
primary,primary_019d7c31a48b,mlp_up_gate_all_blocks,8,1189085184,64,mlp_up_gate_all_blocks_stage15_w8,0.984375,0.11611507530476972,False,0,mlp_up_gate_all_blocks_stage15_w8,1.0462882201522916e-05,mlp_up_gate_all_blocks_stage15_w8,0.0048186677748467575,64,True,15,False,"{""mlp_up_gate_all_blocks_stage10_w8"": 1, ""mlp_up_gate_all_blocks_stage15_w8"": 63}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,input_patch_projection,4,221184,64,input_patch_projection_stage15_w4,0.984375,0.11611507530476972,False,0,input_patch_projection_stage15_w4,0.001370951602149395,input_patch_projection_stage15_w4,0.0023412445082769055,64,True,15,False,"{""input_patch_projection_stage10_w4"": 1, ""input_patch_projection_stage15_w4"": 63}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,qkv_all_blocks,8,891813888,64,qkv_all_blocks_stage15_w8,1.0,-0.0,True,0,qkv_all_blocks_stage15_w8,0.0,qkv_all_blocks_stage15_w8,0.0,64,True,15,False,"{""qkv_all_blocks_stage15_w8"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,attention_output_all_blocks,4,445906944,64,attention_output_all_blocks_stage15_w4,0.46875,1.3868724237332433,False,0,attention_output_all_blocks_stage15_w4,0.15573932993431822,attention_output_all_blocks_stage4_w4,0.25395994201463906,64,True,15,True,"{""attention_output_all_blocks_stage10_w4"": 7, ""attention_output_all_blocks_stage15_w4"": 30, ""attention_output_all_blocks_stage4_w4"": 27}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,attention_output_all_blocks,6,371589120,64,attention_output_all_blocks_stage15_w6,0.734375,1.083918768153341,False,0,attention_output_all_blocks_stage15_w6,0.0018328482153349146,attention_output_all_blocks_stage15_w6,0.1587721835108713,64,True,15,True,"{""attention_output_all_blocks_stage10_w6"": 11, ""attention_output_all_blocks_stage15_w6"": 47, ""attention_output_all_blocks_stage4_w6"": 6}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,mlp_down_all_blocks,8,1189085184,64,mlp_down_all_blocks_stage15_w8,1.0,-0.0,True,0,mlp_down_all_blocks_stage15_w8,0.0,mlp_down_all_blocks_stage15_w8,0.0,64,True,15,False,"{""mlp_down_all_blocks_stage15_w8"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,output_conditioning_projection,4,31850496,64,output_conditioning_projection_stage15_w4,1.0,-0.0,True,0,output_conditioning_projection_stage15_w4,0.0,output_conditioning_projection_stage15_w4,0.0,64,True,15,False,"{""output_conditioning_projection_stage15_w4"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,qkv_all_blocks,4,1337720832,64,qkv_all_blocks_stage15_w4,0.953125,0.27297085791406983,False,0,qkv_all_blocks_stage15_w4,0.019131264040801566,qkv_all_blocks_stage15_w4,0.009431649219062881,64,True,15,False,"{""qkv_all_blocks_stage10_w4"": 3, ""qkv_all_blocks_stage15_w4"": 61}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,adaln_modulation_projection_all_blocks,6,2229534720,64,adaln_modulation_projection_all_blocks_stage15_w6,0.984375,0.11611507530476972,False,0,adaln_modulation_projection_all_blocks_stage15_w6,1.0495053347880923e-05,adaln_modulation_projection_all_blocks_stage15_w6,0.0003637827001482977,64,True,15,False,"{""adaln_modulation_projection_all_blocks_stage10_w6"": 1, ""adaln_modulation_projection_all_blocks_stage15_w6"": 63}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,input_patch_projection,6,184320,64,input_patch_projection_stage15_w6,1.0,-0.0,True,0,input_patch_projection_stage15_w6,0.0,input_patch_projection_stage15_w6,0.0,64,True,15,False,"{""input_patch_projection_stage15_w6"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,output_conditioning_projection,6,26542080,64,output_conditioning_projection_stage15_w6,1.0,-0.0,True,0,output_conditioning_projection_stage15_w6,0.0,output_conditioning_projection_stage15_w6,0.0,64,True,15,False,"{""output_conditioning_projection_stage15_w6"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,output_head_projection,4,442368,64,output_head_projection_stage15_w4,1.0,-0.0,True,0,output_head_projection_stage15_w4,0.0,output_head_projection_stage15_w4,0.0,64,True,15,False,"{""output_head_projection_stage15_w4"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,output_head_projection,8,294912,64,output_head_projection_stage15_w8,1.0,-0.0,True,0,output_head_projection_stage15_w8,0.0,output_head_projection_stage15_w8,0.0,64,True,15,False,"{""output_head_projection_stage15_w8"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,output_conditioning_projection,8,21233664,64,output_conditioning_projection_stage15_w8,1.0,-0.0,True,0,output_conditioning_projection_stage15_w8,0.0,output_conditioning_projection_stage15_w8,0.0,64,True,15,False,"{""output_conditioning_projection_stage15_w8"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,attention_output_all_blocks,8,297271296,64,attention_output_all_blocks_stage15_w8,1.0,-0.0,True,0,attention_output_all_blocks_stage15_w8,0.0,attention_output_all_blocks_stage15_w8,0.0,64,True,15,False,"{""attention_output_all_blocks_stage15_w8"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,adaln_modulation_projection_all_blocks,4,2675441664,64,adaln_modulation_projection_all_blocks_stage15_w4,0.953125,0.27297085791406983,False,0,adaln_modulation_projection_all_blocks_stage15_w4,0.0009734730871313602,adaln_modulation_projection_all_blocks_stage15_w4,0.002013579457784636,64,True,15,False,"{""adaln_modulation_projection_all_blocks_stage10_w4"": 3, ""adaln_modulation_projection_all_blocks_stage15_w4"": 61}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,adaln_modulation_projection_all_blocks,8,1783627776,64,adaln_modulation_projection_all_blocks_stage15_w8,1.0,-0.0,True,0,adaln_modulation_projection_all_blocks_stage15_w8,0.0,adaln_modulation_projection_all_blocks_stage15_w8,0.0,64,True,15,False,"{""adaln_modulation_projection_all_blocks_stage15_w8"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,adaln_conditioning_all_blocks,8,363331584,64,adaln_conditioning_all_blocks_stage15_w8,0.984375,0.11611507530476972,False,0,adaln_conditioning_all_blocks_stage15_w8,3.1233457313817325e-06,adaln_conditioning_all_blocks_stage15_w8,0.00011379185144980164,64,True,15,False,"{""adaln_conditioning_all_blocks_stage10_w8"": 1, ""adaln_conditioning_all_blocks_stage15_w8"": 63}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,mlp_down_all_blocks,4,1783627776,64,mlp_down_all_blocks_stage15_w4,1.0,-0.0,True,0,mlp_down_all_blocks_stage15_w4,-1.4210854715202004e-14,mlp_down_all_blocks_stage15_w4,0.0,64,True,15,False,"{""mlp_down_all_blocks_stage15_w4"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,qkv_all_blocks,6,1114767360,64,qkv_all_blocks_stage15_w6,0.953125,0.27297085791406983,False,0,qkv_all_blocks_stage15_w6,0.0001937906565334102,qkv_all_blocks_stage15_w6,0.004704792204078572,64,True,15,False,"{""qkv_all_blocks_stage10_w6"": 3, ""qkv_all_blocks_stage15_w6"": 61}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,mlp_up_gate_all_blocks,4,1783627776,64,mlp_up_gate_all_blocks_stage4_w4,0.5,1.2244322443615148,False,0,mlp_up_gate_all_blocks_stage15_w4,0.3062643145076384,mlp_up_gate_all_blocks_stage15_w4,0.282283011802404,64,False,4,True,"{""mlp_up_gate_all_blocks_stage10_w4"": 3, ""mlp_up_gate_all_blocks_stage15_w4"": 29, ""mlp_up_gate_all_blocks_stage4_w4"": 32}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,mlp_up_gate_all_blocks,6,1486356480,64,mlp_up_gate_all_blocks_stage15_w6,0.515625,1.3426377236324372,False,0,mlp_up_gate_all_blocks_stage15_w6,0.006868249595870457,mlp_up_gate_all_blocks_stage15_w6,0.21092837538496706,64,True,15,True,"{""mlp_up_gate_all_blocks_stage10_w6"": 6, ""mlp_up_gate_all_blocks_stage15_w6"": 33, ""mlp_up_gate_all_blocks_stage4_w6"": 25}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,adaln_conditioning_all_blocks,6,454164480,64,adaln_conditioning_all_blocks_stage10_w6,0.578125,1.3835011909624917,False,0,adaln_conditioning_all_blocks_stage15_w6,0.02991882743629326,adaln_conditioning_all_blocks_stage10_w6,0.27492615327553144,64,False,10,True,"{""adaln_conditioning_all_blocks_stage10_w6"": 37, ""adaln_conditioning_all_blocks_stage15_w6"": 17, ""adaln_conditioning_all_blocks_stage4_w6"": 10}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,input_patch_projection,8,147456,64,input_patch_projection_stage15_w8,1.0,-0.0,True,0,input_patch_projection_stage15_w8,0.0,input_patch_projection_stage15_w8,0.0,64,True,15,False,"{""input_patch_projection_stage15_w8"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,adaln_conditioning_all_blocks,4,544997376,64,adaln_conditioning_all_blocks_stage15_w4,0.8125,0.6962122601251458,False,0,adaln_conditioning_all_blocks_stage15_w4,0.014306831542063636,adaln_conditioning_all_blocks_stage15_w4,0.017975951474826148,64,True,15,False,"{""adaln_conditioning_all_blocks_stage10_w4"": 12, ""adaln_conditioning_all_blocks_stage15_w4"": 52}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,output_head_projection,6,368640,64,output_head_projection_stage15_w6,1.0,-0.0,True,0,output_head_projection_stage15_w6,0.0,output_head_projection_stage15_w6,0.0,64,True,15,False,"{""output_head_projection_stage15_w6"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,mlp_down_all_blocks,6,1486356480,64,mlp_down_all_blocks_stage15_w6,1.0,-0.0,True,0,mlp_down_all_blocks_stage15_w6,0.0,mlp_down_all_blocks_stage15_w6,0.0,64,True,15,False,"{""mlp_down_all_blocks_stage15_w6"": 64}",exact_cost_set_equal_class_seed,test_best_fixed_diagnostic_not_baseline,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
