family,left,right,metric,point,low,high,lower95,upper95,negative_improvement,exact_tie,positive_worsening,nonworse,sign_convention,estimand,unit,source_observations_sha256
primary,candidate_B,energy,absolute_regret,-0.10632529049925843,-0.16786024448240766,-0.057550379927504586,-0.15720188504818616,-0.0625477399549141,16,0,0,16,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,normalized_regret,-0.14201775756807644,-0.15215658149378045,-0.1315622952068122,-0.15054363473471336,-0.13321274126887359,16,0,0,16,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,energy,oracle_hit,0.27372685185185186,0.2528790509259259,0.2934027777777777,0.255787037037037,0.2905092592592592,0,0,16,0,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,absolute_regret,-0.02432135063717053,-0.0480948751798094,-0.005404854804544896,-0.04377348463162365,-0.0075778363024534764,14,0,2,14,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,normalized_regret,-0.00288169920691601,-0.007259929746287337,0.00186947709713514,-0.006513637094826773,0.001118980451152143,11,0,5,11,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,constant,oracle_hit,0.004050925925925923,-0.005208333333333336,0.013310185185185154,-0.0040509259259258815,0.011574074074074077,5,1,10,6,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,absolute_regret,0.16660797222310794,0.024958945016602403,0.3888285455491857,0.03477954190836112,0.35906578334457795,4,0,12,4,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,normalized_regret,-0.009091296578802557,-0.020609188000857145,0.0029676832665756535,-0.019000496663491427,0.0009262367388192228,10,0,6,10,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,candidate_B,latest_stage,oracle_hit,0.015624999999999986,-0.003472222222222217,0.03356481481481477,-4.163336342344337e-17,0.030671296296296294,4,0,12,4,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,latest_stage,absolute_regret,0.16660797222310794,0.024958945016602403,0.3888285455491857,0.03477954190836112,0.35906578334457795,4,0,12,4,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,latest_stage,normalized_regret,-0.009091296578802557,-0.020609188000857145,0.0029676832665756535,-0.019000496663491427,0.0009262367388192228,10,0,6,10,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,latest_stage,oracle_hit,0.015624999999999986,-0.003472222222222217,0.03356481481481477,-4.163336342344337e-17,0.030671296296296294,4,0,12,4,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,latest_stage,absolute_regret,0.19092932286027847,0.04114031706211934,0.41597135734121254,0.05297507392721392,0.3809390650101605,4,0,12,4,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,latest_stage,normalized_regret,-0.006209597371886547,-0.016619071203548896,0.004373367470153017,-0.015161024356535168,0.0027194889149273938,10,0,6,10,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,constant,latest_stage,oracle_hit,0.011574074074074063,-0.00810185185185186,0.03009259259259258,-0.00462962962962965,0.027199074074074084,6,1,9,7,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,energy,absolute_regret,-0.10632529049925843,-0.16786024448240766,-0.057550379927504586,-0.15720188504818616,-0.0625477399549141,16,0,0,16,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,energy,normalized_regret,-0.14201775756807644,-0.15215658149378045,-0.1315622952068122,-0.15054363473471336,-0.13321274126887359,16,0,0,16,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,energy,oracle_hit,0.27372685185185186,0.2528790509259259,0.2934027777777777,0.255787037037037,0.2905092592592592,0,0,16,0,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,constant,absolute_regret,-0.02432135063717053,-0.0480948751798094,-0.005404854804544896,-0.04377348463162365,-0.0075778363024534764,14,0,2,14,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,constant,normalized_regret,-0.00288169920691601,-0.007259929746287337,0.00186947709713514,-0.006513637094826773,0.001118980451152143,11,0,5,11,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,hybrid,constant,oracle_hit,0.004050925925925923,-0.005208333333333336,0.013310185185185154,-0.0040509259259258815,0.011574074074074077,5,1,10,6,negative_improves_regret_positive_improves_oracle_hit,retrospective_public_scalar_reanalysis,paired_class_block,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
