family,set_id,policy,candidate,stage,count,total,frequency,estimand,source_observations_sha256
primary,primary_019d7c31a48b,candidate_B,mlp_up_gate_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,candidate_B,mlp_up_gate_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,candidate_B,mlp_up_gate_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,constant,mlp_up_gate_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,constant,mlp_up_gate_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,constant,mlp_up_gate_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,energy,mlp_up_gate_all_blocks_stage4_w8,4,61.0,64,0.953125,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,energy,mlp_up_gate_all_blocks_stage10_w8,10,3.0,64,0.046875,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,energy,mlp_up_gate_all_blocks_stage15_w8,15,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,hybrid,mlp_up_gate_all_blocks_stage4_w8,4,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,hybrid,mlp_up_gate_all_blocks_stage10_w8,10,0.0,64,0.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,hybrid,mlp_up_gate_all_blocks_stage15_w8,15,64.0,64,1.0,selection_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
