family,set_id,policy,metric,units,valid_units,mean,median,Q90,Q95,Q99,max,estimand,unit,source_observations_sha256
primary,ALL,candidate_B,absolute_regret,1728,1728,0.1864829337749382,0.0,0.0,0.02527351961106899,1.5274302678147567,186.50799487293583,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,candidate_B,normalized_regret,1728,1728,0.04313539301865944,0.0,0.0,0.24177412636250184,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,constant,absolute_regret,1728,1728,0.2108042844121087,0.0,0.0,0.038122332532154704,2.0581326364566226,186.50799487293583,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,constant,normalized_regret,1728,1728,0.04601709222557546,0.0,0.0,0.29348296165092236,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,energy,absolute_regret,1728,1728,0.29280822427419656,0.0,0.10991236013759503,0.48730606862233083,3.3126008379656167,186.50799487293583,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,energy,normalized_regret,1728,1728,0.1851531505867359,0.0,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,hybrid,absolute_regret,1728,1728,0.1864829337749382,0.0,0.0,0.02527351961106899,1.5274302678147567,186.50799487293583,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,hybrid,normalized_regret,1728,1728,0.04313539301865944,0.0,0.0,0.24177412636250184,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,latest_stage,absolute_regret,1728,1728,0.019874961551830203,0.0,0.0030576197254319486,0.043997261227900424,0.5977069501238438,2.9701772721567177,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,latest_stage,normalized_regret,1728,1728,0.052226689597461996,0.0,0.021194114447830408,0.46271179540875274,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,pure_G,absolute_regret,1728,1728,0.019874961551830203,0.0,0.0030576197254319486,0.043997261227900424,0.5977069501238438,2.9701772721567177,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,pure_G,normalized_regret,1728,1728,0.052226689597461996,0.0,0.021194114447830408,0.46271179540875274,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,stage_position_only,absolute_regret,1728,1728,0.019874961551830203,0.0,0.0030576197254319486,0.043997261227900424,0.5977069501238438,2.9701772721567177,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,stage_position_only,normalized_regret,1728,1728,0.052226689597461996,0.0,0.021194114447830408,0.46271179540875274,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,uniform_random_expected,absolute_regret,1728,1728,25.991947610187225,0.06162462317085311,4.509315767790658,16.609439589610368,768.2983523054683,1065.6657456979804,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,uniform_random_expected,normalized_regret,1728,1728,0.4241443503905809,0.4001802926618233,0.5472620979262802,0.5907970894876294,0.6424146248983758,0.6632790594908019,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,candidate_B,absolute_regret,64,64,1.0462882201522903e-05,0.0,0.0,0.0,0.0002477610505320606,0.0006696244608974658,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,candidate_B,normalized_regret,64,64,0.0048186677748467575,0.0,0.0,0.0,0.11410605290837043,0.3083947375901925,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,constant,absolute_regret,64,64,1.0462882201522903e-05,0.0,0.0,0.0,0.0002477610505320606,0.0006696244608974658,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,constant,normalized_regret,64,64,0.0048186677748467575,0.0,0.0,0.0,0.11410605290837043,0.3083947375901925,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,energy,absolute_regret,64,64,0.0195959089474807,0.009354449344186833,0.031570344014804526,0.049034425775619124,0.18934956075786546,0.22080717344594805,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,energy,normalized_regret,64,64,0.8701589436263327,1.0,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,hybrid,absolute_regret,64,64,1.0462882201522903e-05,0.0,0.0,0.0,0.0002477610505320606,0.0006696244608974658,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,hybrid,normalized_regret,64,64,0.0048186677748467575,0.0,0.0,0.0,0.11410605290837043,0.3083947375901925,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,latest_stage,absolute_regret,64,64,1.0462882201522903e-05,0.0,0.0,0.0,0.0002477610505320606,0.0006696244608974658,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,latest_stage,normalized_regret,64,64,0.0048186677748467575,0.0,0.0,0.0,0.11410605290837043,0.3083947375901925,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,pure_G,absolute_regret,64,64,1.0462882201522903e-05,0.0,0.0,0.0,0.0002477610505320606,0.0006696244608974658,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,pure_G,normalized_regret,64,64,0.0048186677748467575,0.0,0.0,0.0,0.11410605290837043,0.3083947375901925,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,stage_position_only,absolute_regret,64,64,1.0462882201522903e-05,0.0,0.0,0.0,0.0002477610505320606,0.0006696244608974658,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,stage_position_only,normalized_regret,64,64,0.0048186677748467575,0.0,0.0,0.0,0.11410605290837043,0.3083947375901925,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,uniform_random_expected,absolute_regret,64,64,0.011902586273660328,0.005652850002139331,0.020901779502765793,0.04516794682553086,0.09160498478992732,0.12532047029618337,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,uniform_random_expected,normalized_regret,64,64,0.4918176231900257,0.4758685571666831,0.6079118019582284,0.625357188705599,0.6433537027829466,0.66203726511737,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,candidate_B,absolute_regret,64,64,0.001370951602149395,0.0,0.0,0.0,0.03246413393889745,0.08774090253756128,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,candidate_B,normalized_regret,64,64,0.0023412445082769055,0.0,0.0,0.0,0.05544066995599674,0.14983964852972195,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,constant,absolute_regret,64,64,0.001370951602149395,0.0,0.0,0.0,0.03246413393889745,0.08774090253756128,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,constant,normalized_regret,64,64,0.0023412445082769055,0.0,0.0,0.0,0.05544066995599674,0.14983964852972195,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,energy,absolute_regret,64,64,0.0320367096440029,0.0,0.05858487482611305,0.3234866471969271,0.4764987668352171,0.641446928865136,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,energy,normalized_regret,64,64,0.008862588158030805,0.0,0.004979826965443353,0.07765671495457382,0.15838494310062018,0.17293503926187945,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,hybrid,absolute_regret,64,64,0.001370951602149395,0.0,0.0,0.0,0.03246413393889745,0.08774090253756128,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,hybrid,normalized_regret,64,64,0.0023412445082769055,0.0,0.0,0.0,0.05544066995599674,0.14983964852972195,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,latest_stage,absolute_regret,64,64,0.001370951602149395,0.0,0.0,0.0,0.03246413393889745,0.08774090253756128,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,latest_stage,normalized_regret,64,64,0.0023412445082769055,0.0,0.0,0.0,0.05544066995599674,0.14983964852972195,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,pure_G,absolute_regret,64,64,0.001370951602149395,0.0,0.0,0.0,0.03246413393889745,0.08774090253756128,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
