estimator,target_kind,metric,class_id,value
mean,operational,err_abs_noJ,123,1.771150453391875
mean,operational,err_abs_noJ,206,1.818020629069076
mean,operational,err_abs_noJ,325,1.7725843116603432
mean,operational,err_abs_noJ,408,1.7981259952737918
mean,operational,err_abs_noJ,569,1.8365783410722687
mean,operational,err_abs_noJ,701,1.8508286623112225
mean,operational,err_abs_noJ,789,1.844044456334067
mean,operational,err_abs_noJ,887,1.8577227187489234
mean,operational,err_abs_scalar,123,0.33572039256522973
mean,operational,err_abs_scalar,206,0.502537617687644
mean,operational,err_abs_scalar,325,0.40876724906810136
mean,operational,err_abs_scalar,408,0.4473033995524158
mean,operational,err_abs_scalar,569,0.40654340455746857
mean,operational,err_abs_scalar,701,0.5065345397102836
mean,operational,err_abs_scalar,789,0.5104092849999536
mean,operational,err_abs_scalar,887,0.38343859941013253
mean,operational,err_abs_full,123,0.5218476947709156
mean,operational,err_abs_full,206,0.6589113989290614
mean,operational,err_abs_full,325,0.359054874260059
mean,operational,err_abs_full,408,0.38301519303934045
mean,operational,err_abs_full,569,0.40974055505622137
mean,operational,err_abs_full,701,0.4513625617125716
mean,operational,err_abs_full,789,0.4803836298880477
mean,operational,err_abs_full,887,0.3189948284475905
mean,operational,err_sq_noJ,123,8.851814351487898
mean,operational,err_sq_noJ,206,9.177806511613504
mean,operational,err_sq_noJ,325,8.781612847757174
mean,operational,err_sq_noJ,408,8.971285378354464
mean,operational,err_sq_noJ,569,9.532051828877227
mean,operational,err_sq_noJ,701,9.464619325226492
mean,operational,err_sq_noJ,789,9.3973202493327
mean,operational,err_sq_noJ,887,9.804729634336557
mean,operational,err_sq_scalar,123,0.5027703425831717
mean,operational,err_sq_scalar,206,1.11404664219473
mean,operational,err_sq_scalar,325,0.78109671883654
mean,operational,err_sq_scalar,408,0.9330282176140141
mean,operational,err_sq_scalar,569,0.7818750016207793
mean,operational,err_sq_scalar,701,1.1060172549934457
mean,operational,err_sq_scalar,789,1.2135408290244458
mean,operational,err_sq_scalar,887,0.71203011837516
mean,operational,err_sq_full,123,2.494541776356886
mean,operational,err_sq_full,206,3.2214702367291643
mean,operational,err_sq_full,325,0.7279166565266975
mean,operational,err_sq_full,408,0.8178087870440153
mean,operational,err_sq_full,569,1.0670702396764165
mean,operational,err_sq_full,701,1.126266055907032
mean,operational,err_sq_full,789,1.3239833395357328
mean,operational,err_sq_full,887,0.6035295693009263
mean,operational,err_rel_noJ,123,0.3149911146446346
mean,operational,err_rel_noJ,206,0.3111447052016012
mean,operational,err_rel_noJ,325,0.3044766980261342
mean,operational,err_rel_noJ,408,0.32235383777322696
mean,operational,err_rel_noJ,569,0.3206668544995284
mean,operational,err_rel_noJ,701,0.31235410510122
mean,operational,err_rel_noJ,789,0.31763042347675047
mean,operational,err_rel_noJ,887,0.30854362759695664
mean,operational,err_rel_scalar,123,0.0630872415090306
mean,operational,err_rel_scalar,206,0.09778212716750041
mean,operational,err_rel_scalar,325,0.0760408189509348
mean,operational,err_rel_scalar,408,0.0868354321950303
mean,operational,err_rel_scalar,569,0.07628961147200904
mean,operational,err_rel_scalar,701,0.09313345357211672
mean,operational,err_rel_scalar,789,0.08589079138473522
mean,operational,err_rel_scalar,887,0.06896385422710376
mean,operational,err_rel_full,123,0.03609889192844885
mean,operational,err_rel_full,206,0.050292351381222684
mean,operational,err_rel_full,325,0.022985569964280944
mean,operational,err_rel_full,408,0.028458587312029073
mean,operational,err_rel_full,569,0.02681080204530868
mean,operational,err_rel_full,701,0.029798393232718587
mean,operational,err_rel_full,789,0.029930406540810545
mean,operational,err_rel_full,887,0.019618981140087796
mean,operational,abs_full_minus_scalar,123,0.18612730220568588
mean,operational,abs_full_minus_scalar,206,0.1563737812414173
mean,operational,abs_full_minus_scalar,325,-0.04971237480804238
mean,operational,abs_full_minus_scalar,408,-0.06428820651307537
mean,operational,abs_full_minus_scalar,569,0.0031971504987528356
mean,operational,abs_full_minus_scalar,701,-0.055171977997712014
mean,operational,abs_full_minus_scalar,789,-0.030025655111905886
mean,operational,abs_full_minus_scalar,887,-0.06444377096254209
mean,operational,abs_full_minus_noJ,123,-1.2493027586209593
mean,operational,abs_full_minus_noJ,206,-1.1591092301400145
mean,operational,abs_full_minus_noJ,325,-1.4135294374002842
mean,operational,abs_full_minus_noJ,408,-1.4151108022344514
mean,operational,abs_full_minus_noJ,569,-1.4268377860160475
mean,operational,abs_full_minus_noJ,701,-1.3994661005986508
mean,operational,abs_full_minus_noJ,789,-1.3636608264460195
mean,operational,abs_full_minus_noJ,887,-1.538727890301333
mean,operational,abs_scalar_minus_noJ,123,-1.4354300608266453
mean,operational,abs_scalar_minus_noJ,206,-1.315483011381432
mean,operational,abs_scalar_minus_noJ,325,-1.363817062592242
mean,operational,abs_scalar_minus_noJ,408,-1.350822595721376
mean,operational,abs_scalar_minus_noJ,569,-1.4300349365148002
mean,operational,abs_scalar_minus_noJ,701,-1.3442941226009388
mean,operational,abs_scalar_minus_noJ,789,-1.3336351713341135
mean,operational,abs_scalar_minus_noJ,887,-1.474284119338791
mean,scheduler64,err_abs_noJ,123,1.7711504686109711
mean,scheduler64,err_abs_noJ,206,1.8180206531785743
mean,scheduler64,err_abs_noJ,325,1.7725843419272103
mean,scheduler64,err_abs_noJ,408,1.798125988907536
mean,scheduler64,err_abs_noJ,569,1.8365783662860455
mean,scheduler64,err_abs_noJ,701,1.8508286518116197
mean,scheduler64,err_abs_noJ,789,1.8440444175520396
mean,scheduler64,err_abs_noJ,887,1.857722741912642
mean,scheduler64,err_abs_scalar,123,0.33572039314066765
mean,scheduler64,err_abs_scalar,206,0.5025375932153788
mean,scheduler64,err_abs_scalar,325,0.4087672071233044
mean,scheduler64,err_abs_scalar,408,0.44730336456536596
mean,scheduler64,err_abs_scalar,569,0.4065433891861954
mean,scheduler64,err_abs_scalar,701,0.506534493713311
mean,scheduler64,err_abs_scalar,789,0.5104092528867686
mean,scheduler64,err_abs_scalar,887,0.3834386123752571
mean,scheduler64,err_abs_full,123,0.5218476971601366
mean,scheduler64,err_abs_full,206,0.6589114126184233
mean,scheduler64,err_abs_full,325,0.3590548994450728
mean,scheduler64,err_abs_full,408,0.38301520541453943
mean,scheduler64,err_abs_full,569,0.4097405385005435
mean,scheduler64,err_abs_full,701,0.4513625071149288
mean,scheduler64,err_abs_full,789,0.4803836212043831
mean,scheduler64,err_abs_full,887,0.31899486390226583
mean,scheduler64,err_sq_noJ,123,8.85181552716958
mean,scheduler64,err_sq_noJ,206,9.177807788962058
mean,scheduler64,err_sq_noJ,325,8.781614251394018
mean,scheduler64,err_sq_noJ,408,8.971286613960068
mean,scheduler64,err_sq_noJ,569,9.5320531270915
mean,scheduler64,err_sq_noJ,701,9.464620193839488
mean,scheduler64,err_sq_noJ,789,9.397321113169161
mean,scheduler64,err_sq_noJ,887,9.804731037525656
mean,scheduler64,err_sq_scalar,123,0.5027702115438577
mean,scheduler64,err_sq_scalar,206,1.1140463854362002
mean,scheduler64,err_sq_scalar,325,0.781096534753453
mean,scheduler64,err_sq_scalar,408,0.9330279187786261
mean,scheduler64,err_sq_scalar,569,0.781874761405835
mean,scheduler64,err_sq_scalar,701,1.1060168702091593
mean,scheduler64,err_sq_scalar,789,1.2135404648310621
mean,scheduler64,err_sq_scalar,887,0.7120299308171956
mean,scheduler64,err_sq_full,123,2.4945414793229754
mean,scheduler64,err_sq_full,206,3.221470075523029
mean,scheduler64,err_sq_full,325,0.7279164841427151
mean,scheduler64,err_sq_full,408,0.8178085715993095
mean,scheduler64,err_sq_full,569,1.067070045563088
mean,scheduler64,err_sq_full,701,1.1262658477394443
mean,scheduler64,err_sq_full,789,1.3239830974667155
mean,scheduler64,err_sq_full,887,0.6035294605056097
mean,scheduler64,err_rel_noJ,123,0.31499117076601607
mean,scheduler64,err_rel_noJ,206,0.3111447417666005
mean,scheduler64,err_rel_noJ,325,0.30447674378337114
mean,scheduler64,err_rel_noJ,408,0.3223537861481676
