kind,scope,target_kind,policy,rows,defined_rows,mean,Q90,Q95,Q99,max,worst_identity,excluded_class,leave_one_class_out_point,original_point
raw_tail,available_balanced,operational,noJ,192,192,1.8186319459826958,6.460241435541493,6.5691977657771226,6.7754500621803695,6.8384615986350115,"[887, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,available_balanced,operational,scalar,192,192,0.43765681094390363,2.226715515586892,2.524493565817895,2.8359308178928764,2.8998827378247407,"[206, 108, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,available_balanced,operational,full,192,192,0.447913842012976,2.1797481445773426,2.5388295093843256,3.9095226735400477,7.62294167430836,"[206, 107, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,available_balanced,scheduler64,noJ,192,192,1.8186319537733298,6.460242505644477,6.569198964748446,6.775451211726707,6.838462905842377,"[887, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,available_balanced,scheduler64,scalar,192,192,0.43765678827578114,2.2267152268019745,2.524493216942296,2.835930305444062,2.8998824281923836,"[206, 108, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,available_balanced,scheduler64,full,192,192,0.4479138431700367,2.179747788602901,2.538829231536954,3.9095224689451533,7.62294163507218,"[206, 107, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,probe5,operational,noJ,96,96,2.349933265051327,6.571514230556801,6.692457197241807,6.829344579459758,6.8384615986350115,"[887, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,probe5,operational,scalar,96,96,0.06279393054923499,0.18212140422452233,0.2168007951240508,0.3031260587246471,0.3120823690431495,"[701, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,probe5,operational,full,96,96,0.024643139752009574,0.07530551450249956,0.09187496759000088,0.1207703347773223,0.14988427841394095,"[701, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,probe5,scheduler64,noJ,96,96,2.3499336660157013,6.571515422710998,6.692458280780359,6.829345749142115,6.838462905842377,"[887, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,probe5,scheduler64,scalar,96,96,0.06279401037561035,0.18212166457534995,0.21680088701833258,0.30312632817982854,0.31208264673680103,"[701, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,probe5,scheduler64,full,96,96,0.024643226923347094,0.07530589214258313,0.09187526300407019,0.12077067647903557,0.14988447902437071,"[701, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,probe11,operational,noJ,96,96,1.2873306269140647,3.5763397595964377,3.763854233466895,3.874486643433958,3.989616462445003,"[789, 109, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,probe11,operational,scalar,96,96,0.8125196913385722,2.525924023085354,2.6269206916489694,2.8910473694458907,2.8998827378247407,"[206, 108, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,probe11,operational,full,96,96,0.8711845442739423,2.546856364976512,3.052336496453941,7.201717593255406,7.62294167430836,"[206, 107, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,probe11,scheduler64,noJ,96,96,1.2873302415309587,3.576338630198232,3.7638529777996834,3.8744852693631273,3.9896152016892437,"[789, 109, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,probe11,scheduler64,scalar,96,96,0.812519566175952,2.52592368243443,2.6269202201885644,2.8910469472346736,2.8998824281923836,"[206, 108, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,probe11,scheduler64,full,96,96,0.8711844594167263,2.5468560830322673,3.0523362321241305,7.2017173158029495,7.62294163507218,"[206, 107, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,qkv_all_blocks:probe5,operational,noJ,32,32,0.4728747005549725,0.4813288275697988,0.48296589368635345,0.48456315010781653,0.4846280369889834,"[408, 108, ""qkv_all_blocks"", 4, 5]",,,
raw_tail,qkv_all_blocks:probe5,operational,scalar,32,32,0.012885716608904967,0.018037654434704564,0.027837532258444264,0.037201866074184645,0.03967467369837019,"[701, 109, ""qkv_all_blocks"", 4, 5]",,,
raw_tail,qkv_all_blocks:probe5,operational,full,32,32,0.0003394386711003609,0.0003806777151215103,0.0005859964724027036,0.001031604680393546,0.0011429373153601812,"[206, 108, ""qkv_all_blocks"", 4, 5]",,,
raw_tail,qkv_all_blocks:probe5,scheduler64,noJ,32,32,0.47287475200555307,0.48132893525868525,0.4829659925318768,0.48456314762010555,0.4846280104784258,"[408, 108, ""qkv_all_blocks"", 4, 5]",,,
raw_tail,qkv_all_blocks:probe5,scheduler64,scalar,32,32,0.012885723619232538,0.018037638698169885,0.02783756454850671,0.037201953763729194,0.03967479669634114,"[701, 109, ""qkv_all_blocks"", 4, 5]",,,
raw_tail,qkv_all_blocks:probe5,scheduler64,full,32,32,0.0003394003918425296,0.0003805545773727611,0.0005858484125505785,0.0010315825675031758,0.0011429509862666382,"[206, 108, ""qkv_all_blocks"", 4, 5]",,,
raw_tail,qkv_all_blocks:probe11,operational,noJ,32,32,0.2858836890268814,0.3189293902616773,0.33276588234478555,0.39310408384565554,0.41872062875207067,"[206, 107, ""qkv_all_blocks"", 4, 11]",,,
raw_tail,qkv_all_blocks:probe11,operational,scalar,32,32,0.13306481263442224,0.2437535549305058,0.27318720974824967,0.3367043413290802,0.35659433357662673,"[206, 107, ""qkv_all_blocks"", 4, 11]",,,
raw_tail,qkv_all_blocks:probe11,operational,full,32,32,0.02429457836549255,0.05160315937733153,0.0953485001382568,0.21095466277001115,0.2543524836635122,"[206, 107, ""qkv_all_blocks"", 4, 11]",,,
raw_tail,qkv_all_blocks:probe11,scheduler64,noJ,32,32,0.2858836176734668,0.31892928886212984,0.3327658490900589,0.39310401709532594,0.418720510709546,"[206, 107, ""qkv_all_blocks"", 4, 11]",,,
raw_tail,qkv_all_blocks:probe11,scheduler64,scalar,32,32,0.13306476948963275,0.2437536138432808,0.2731870749962989,0.3367042555075508,0.3565942585186932,"[206, 107, ""qkv_all_blocks"", 4, 11]",,,
raw_tail,qkv_all_blocks:probe11,scheduler64,full,32,32,0.024294576461948575,0.05160316472818356,0.09534845301823863,0.21095474756195992,0.2543526056408716,"[206, 107, ""qkv_all_blocks"", 4, 11]",,,
raw_tail,attention_output_all_blocks:probe5,operational,noJ,32,32,0.051095664689251655,0.054014389533364605,0.05469410671238677,0.05563809387613427,0.05588813351201596,"[887, 109, ""attention_output_all_blocks"", 4, 5]",,,
raw_tail,attention_output_all_blocks:probe5,operational,scalar,32,32,0.005090295591425025,0.00951310786891086,0.010050245750653993,0.01093495913008868,0.01108716236898594,"[325, 107, ""attention_output_all_blocks"", 4, 5]",,,
raw_tail,attention_output_all_blocks:probe5,operational,full,32,32,0.00023952403992131806,0.00025447455009693825,0.00025953199216864885,0.00026912632337564523,0.0002734166546058095,"[325, 107, ""attention_output_all_blocks"", 4, 5]",,,
raw_tail,attention_output_all_blocks:probe5,scheduler64,noJ,32,32,0.051095685483388664,0.05401443608915476,0.05469420714706426,0.05563805996430323,0.05588808090281781,"[887, 109, ""attention_output_all_blocks"", 4, 5]",,,
raw_tail,attention_output_all_blocks:probe5,scheduler64,scalar,32,32,0.0050902951798791965,0.009513038584174755,0.010050158985021786,0.010935057997663235,0.011087297407680387,"[325, 107, ""attention_output_all_blocks"", 4, 5]",,,
raw_tail,attention_output_all_blocks:probe5,scheduler64,full,32,32,0.00023947571231218532,0.00025448392303560277,0.00025950583849886533,0.0002690333457313306,0.0002732886173913256,"[325, 107, ""attention_output_all_blocks"", 4, 5]",,,
raw_tail,attention_output_all_blocks:probe11,operational,noJ,32,32,0.0351634386961753,0.04570315379332587,0.047395543687735575,0.05495100574411689,0.05759061770380707,"[408, 108, ""attention_output_all_blocks"", 4, 11]",,,
raw_tail,attention_output_all_blocks:probe11,operational,scalar,32,32,0.03195243495872259,0.05193281094900161,0.05489122603854161,0.06082877069800271,0.06261976630492305,"[408, 108, ""attention_output_all_blocks"", 4, 11]",,,
raw_tail,attention_output_all_blocks:probe11,operational,full,32,32,0.001037789632501302,0.00264824840829448,0.0029957478440991504,0.0047581140531870545,0.00553602452652855,"[408, 108, ""attention_output_all_blocks"", 4, 11]",,,
raw_tail,attention_output_all_blocks:probe11,scheduler64,noJ,32,32,0.03516342645465376,0.045703178248290996,0.04739551303369504,0.05495104031559993,0.05759067925145374,"[408, 108, ""attention_output_all_blocks"", 4, 11]",,,
raw_tail,attention_output_all_blocks:probe11,scheduler64,scalar,32,32,0.03195244611372257,0.05193280960713933,0.05489120088277449,0.060828799477442526,0.06261981230837038,"[408, 108, ""attention_output_all_blocks"", 4, 11]",,,
raw_tail,attention_output_all_blocks:probe11,scheduler64,full,32,32,0.0010377852120459087,0.0026481618611223314,0.0029957632594802414,0.00475808980308961,0.005535996383593584,"[408, 108, ""attention_output_all_blocks"", 4, 11]",,,
raw_tail,mlp_down_all_blocks:probe5,operational,noJ,32,32,6.525829429909757,6.715490902866668,6.7965811420697815,6.835486571325192,6.8384615986350115,"[887, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,mlp_down_all_blocks:probe5,operational,scalar,32,32,0.17040577944737495,0.2764716769376667,0.3015390712554954,0.3091597835707961,0.3120823690431495,"[701, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,mlp_down_all_blocks:probe5,operational,full,32,32,0.07335045654500706,0.09682433167019967,0.10979882543390139,0.14038393891146544,0.14988427841394095,"[701, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,mlp_down_all_blocks:probe5,scheduler64,noJ,32,32,6.525830560558163,6.715491895355423,6.796582296718569,6.835487833655976,6.838462905842377,"[887, 110, ""mlp_down_all_blocks"", 4, 5]",,,
