class_id,policy,metric,value
19,energy,absolute_regret,0.42029250697483345
85,energy,absolute_regret,1.8639562141284765
131,energy,absolute_regret,0.07701112086850047
224,energy,absolute_regret,0.05133051011868122
301,energy,absolute_regret,0.30658560294474013
345,energy,absolute_regret,0.042157736891959945
384,energy,absolute_regret,0.018446159063970423
462,energy,absolute_regret,0.1582362336176965
511,energy,absolute_regret,0.16171441742030532
568,energy,absolute_regret,0.11369213731232299
679,energy,absolute_regret,0.5784769139622279
712,energy,absolute_regret,0.08223266719969823
780,energy,absolute_regret,0.08959860693251116
870,energy,absolute_regret,0.08081516917836486
888,energy,absolute_regret,0.3838800632857926
975,energy,absolute_regret,0.25650552848706365
19,energy,normalized_regret,0.15773259198191278
85,energy,normalized_regret,0.1618166112483585
131,energy,normalized_regret,0.14548423272831654
224,energy,normalized_regret,0.1883667054434861
301,energy,normalized_regret,0.2252292681573203
345,energy,normalized_regret,0.17443737534282627
384,energy,normalized_regret,0.18354411079161265
462,energy,normalized_regret,0.17810907702179832
511,energy,normalized_regret,0.21729102256961663
568,energy,normalized_regret,0.18441221633878874
679,energy,normalized_regret,0.20962636977905483
712,energy,normalized_regret,0.20966058930909015
780,energy,normalized_regret,0.14982512484897004
870,energy,normalized_regret,0.18320900932692635
888,energy,normalized_regret,0.20357664664454794
975,energy,normalized_regret,0.1901294578551483
19,energy,oracle_hit,0.6666666666666667
85,energy,oracle_hit,0.6944444444444444
131,energy,oracle_hit,0.6944444444444444
224,energy,oracle_hit,0.6111111111111112
301,energy,oracle_hit,0.5648148148148149
345,energy,oracle_hit,0.6388888888888888
384,energy,oracle_hit,0.6203703703703705
462,energy,oracle_hit,0.6111111111111112
511,energy,oracle_hit,0.6388888888888888
568,energy,oracle_hit,0.6296296296296297
679,energy,oracle_hit,0.6111111111111112
712,energy,oracle_hit,0.5925925925925926
780,energy,oracle_hit,0.6481481481481481
870,energy,oracle_hit,0.6759259259259259
888,energy,oracle_hit,0.6018518518518519
975,energy,oracle_hit,0.6203703703703705
19,constant,absolute_regret,0.030924617916964242
85,constant,absolute_regret,1.741789106381054
131,constant,absolute_regret,0.02052700123928996
224,constant,absolute_regret,0.03441089336783174
301,constant,absolute_regret,0.2524034304778764
345,constant,absolute_regret,0.0064183657533250105
384,constant,absolute_regret,0.0056217186773358015
462,constant,absolute_regret,0.0977531845849334
511,constant,absolute_regret,0.033872922669719266
568,constant,absolute_regret,0.08594541745260274
679,constant,absolute_regret,0.335434161177422
712,constant,absolute_regret,0.032349617378228834
780,constant,absolute_regret,0.025069029803961997
870,constant,absolute_regret,0.014412818423113337
888,constant,absolute_regret,0.33331949245684533
975,constant,absolute_regret,0.32261677283323487
19,constant,normalized_regret,0.03747806425617908
85,constant,normalized_regret,0.0504842368663969
131,constant,normalized_regret,0.04446546168653617
224,constant,normalized_regret,0.037743763823382126
301,constant,normalized_regret,0.04829598637468486
345,constant,normalized_regret,0.036715625956666324
384,constant,normalized_regret,0.03167959545051868
462,constant,normalized_regret,0.04660825051320015
511,constant,normalized_regret,0.05393010719731353
568,constant,normalized_regret,0.039165776714059804
679,constant,normalized_regret,0.06402761280068846
712,constant,normalized_regret,0.04494941854765785
780,constant,normalized_regret,0.03965120142330611
870,constant,normalized_regret,0.05832517636624998
888,constant,normalized_regret,0.06289913515969801
975,constant,normalized_regret,0.03985406247266924
19,constant,oracle_hit,0.9259259259259259
85,constant,oracle_hit,0.9074074074074073
131,constant,oracle_hit,0.8981481481481481
224,constant,oracle_hit,0.9259259259259258
301,constant,oracle_hit,0.8888888888888888
345,constant,oracle_hit,0.8518518518518519
384,constant,oracle_hit,0.9166666666666667
462,constant,oracle_hit,0.9444444444444444
511,constant,oracle_hit,0.8888888888888888
568,constant,oracle_hit,0.8981481481481481
679,constant,oracle_hit,0.8981481481481481
712,constant,oracle_hit,0.9166666666666666
780,constant,oracle_hit,0.9074074074074074
870,constant,oracle_hit,0.8796296296296297
888,constant,oracle_hit,0.8703703703703703
975,constant,oracle_hit,0.9166666666666666
19,latest_stage,absolute_regret,0.019116053578778637
85,latest_stage,absolute_regret,0.0300010316674591
131,latest_stage,absolute_regret,0.01868469170678565
224,latest_stage,absolute_regret,0.012737699656626312
301,latest_stage,absolute_regret,0.0055831734623601635
345,latest_stage,absolute_regret,0.018194291145841396
384,latest_stage,absolute_regret,0.010043687433401402
462,latest_stage,absolute_regret,0.02499555454044374
511,latest_stage,absolute_regret,0.014194575016197175
568,latest_stage,absolute_regret,0.008033559884124429
679,latest_stage,absolute_regret,0.025338617564926506
712,latest_stage,absolute_regret,0.014697171374823858
780,latest_stage,absolute_regret,0.0523403743757937
870,latest_stage,absolute_regret,0.05959817503567003
888,latest_stage,absolute_regret,0.001966473824143636
975,latest_stage,absolute_regret,0.0024742545619075
19,latest_stage,normalized_regret,0.05964806345764634
85,latest_stage,normalized_regret,0.07637635993785025
131,latest_stage,normalized_regret,0.08927016925565938
224,latest_stage,normalized_regret,0.04653162586991172
301,latest_stage,normalized_regret,0.030617217583874704
345,latest_stage,normalized_regret,0.0614867222300507
384,latest_stage,normalized_regret,0.052665310501691494
462,latest_stage,normalized_regret,0.05465762342514686
511,latest_stage,normalized_regret,0.03670621007710364
568,latest_stage,normalized_regret,0.046412193197515106
679,latest_stage,normalized_regret,0.045272527803335155
712,latest_stage,normalized_regret,0.04098790879071369
780,latest_stage,normalized_regret,0.0598156290102964
870,latest_stage,normalized_regret,0.08734084516771427
888,latest_stage,normalized_regret,0.032117412398025465
975,latest_stage,normalized_regret,0.01572121485285686
19,latest_stage,oracle_hit,0.8796296296296295
85,latest_stage,oracle_hit,0.861111111111111
131,latest_stage,oracle_hit,0.8611111111111112
224,latest_stage,oracle_hit,0.888888888888889
301,latest_stage,oracle_hit,0.9259259259259259
345,latest_stage,oracle_hit,0.8518518518518519
384,latest_stage,oracle_hit,0.8796296296296295
462,latest_stage,oracle_hit,0.8796296296296295
511,latest_stage,oracle_hit,0.888888888888889
568,latest_stage,oracle_hit,0.8888888888888888
679,latest_stage,oracle_hit,0.9259259259259259
712,latest_stage,oracle_hit,0.9259259259259259
780,latest_stage,oracle_hit,0.8703703703703705
870,latest_stage,oracle_hit,0.8240740740740741
888,latest_stage,oracle_hit,0.9444444444444444
975,latest_stage,oracle_hit,0.9537037037037037
19,candidate_B,absolute_regret,0.025881457585745407
85,candidate_B,absolute_regret,1.7298820730436326
131,candidate_B,absolute_regret,0.0243339829394436
224,candidate_B,absolute_regret,0.03082105108436377
301,candidate_B,absolute_regret,0.2410519472181289
345,candidate_B,absolute_regret,0.0056616324883842824
384,candidate_B,absolute_regret,0.000559507831088894
462,candidate_B,absolute_regret,0.0984145470808711
511,candidate_B,absolute_regret,0.018677493449035583
568,candidate_B,absolute_regret,0.029984523887225473
679,candidate_B,absolute_regret,0.18305654612914274
712,candidate_B,absolute_regret,0.030832003514506184
780,candidate_B,absolute_regret,0.01810339251683567
870,candidate_B,absolute_regret,0.013625043624148165
888,candidate_B,absolute_regret,0.32572263867350476
975,candidate_B,absolute_regret,0.20711909933295328
19,candidate_B,normalized_regret,0.034351488801935816
85,candidate_B,normalized_regret,0.04142248564492647
131,candidate_B,normalized_regret,0.051653958045515314
224,candidate_B,normalized_regret,0.050397315918981084
301,candidate_B,normalized_regret,0.06530384020399096
345,candidate_B,normalized_regret,0.034391710470735026
384,candidate_B,normalized_regret,0.02427683529475184
462,candidate_B,normalized_regret,0.05026985239182222
511,candidate_B,normalized_regret,0.05110937797905021
568,candidate_B,normalized_regret,0.027965343272280344
679,candidate_B,normalized_regret,0.07033178749690845
712,candidate_B,normalized_regret,0.02937072201118787
780,candidate_B,normalized_regret,0.029251790573996937
870,candidate_B,normalized_regret,0.04569178330729348
888,candidate_B,normalized_regret,0.05106068701099781
975,candidate_B,normalized_regret,0.03331730987417729
19,candidate_B,oracle_hit,0.9259259259259259
85,candidate_B,oracle_hit,0.9166666666666666
131,candidate_B,oracle_hit,0.8703703703703703
224,candidate_B,oracle_hit,0.8981481481481483
301,candidate_B,oracle_hit,0.8703703703703703
