class_id,seed,set_id,left,right,selected_left,selected_right,absolute_difference,helped,hurt
19,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.045778057647737555,True,False
19,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0007670826726666746,False,True
19,79,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.06649978278773006,False,True
19,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.11365134000378416,True,False
19,80,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,0.025417196992179928,False,True
19,81,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.03728428777958471,True,False
19,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.5810441569715294,True,False
85,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.10474052644612183,True,False
85,79,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,9.454350353621521e-05,False,True
85,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.007335493228424694,True,False
85,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.001292604890295479,True,False
131,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.009563111837451286,False,True
131,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.16089950683233667,False,True
131,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.36774391488779656,True,False
131,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.02137730303678609,False,True
224,79,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.009195865268566188,False,True
224,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.03350821545501505,True,False
224,81,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0019054242641374222,False,True
224,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.008592939597519946,False,True
224,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.015170154264922072,False,True
301,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,1.4823460099755685,False,True
301,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.083511730195994,False,True
301,79,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.01118871860404623,False,True
301,81,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.7670506094364526,False,True
301,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.015654077588706627,True,False
345,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.03684068087152076,False,True
345,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0013217372152780592,False,True
345,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.058027758842687405,True,False
345,81,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,0.007792187465426533,False,True
345,82,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.10946995368067292,False,True
345,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.02688838551387107,True,False
384,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.13627560553493367,True,False
384,79,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.019368207543383417,False,True
384,80,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.0023136638123268938,False,True
