class_id,seed,set_id,left,right,selected_left,selected_right,absolute_difference,helped,hurt,tail,rank
462,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.993742967071441,True,False,largest_improvements,1
19,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.5810441569715294,True,False,largest_improvements,2
384,82,primary_d0adb13a6bdf,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w4,mlp_up_gate_all_blocks_stage4_w4,-0.5279563083001337,True,False,largest_improvements,3
568,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.47294418894695045,True,False,largest_improvements,4
131,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.36774391488779656,True,False,largest_improvements,5
384,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.3623123898561608,True,False,largest_improvements,6
568,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.2536107929746975,True,False,largest_improvements,7
568,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.23622342956520012,True,False,largest_improvements,8
888,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.20710712799147754,True,False,largest_improvements,9
780,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.16493956672934473,True,False,largest_improvements,10
384,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.13627560553493367,True,False,largest_improvements,11
870,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.12513182774455345,True,False,largest_improvements,12
780,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.12454283687469567,True,False,largest_improvements,13
870,82,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.1201768583923695,True,False,largest_improvements,14
712,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.11756197381990666,True,False,largest_improvements,15
19,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.11365134000378416,True,False,largest_improvements,16
85,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.10474052644612183,True,False,largest_improvements,17
870,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.09900345182813906,True,False,largest_improvements,18
780,82,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.06652160997214196,True,False,largest_improvements,19
345,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.058027758842687405,True,False,largest_improvements,20
301,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,1.4823460099755685,False,True,largest_losses,1
780,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.8441270679809918,False,True,largest_losses,2
301,81,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.7670506094364526,False,True,largest_losses,3
679,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.22206505646619235,False,True,largest_losses,4
870,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.19428626960483086,False,True,largest_losses,5
462,82,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.17747436950787682,False,True,largest_losses,6
131,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.16089950683233667,False,True,largest_losses,7
870,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.11159841249838104,False,True,largest_losses,8
345,82,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.10946995368067292,False,True,largest_losses,9
301,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.083511730195994,False,True,largest_losses,10
19,79,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.06649978278773006,False,True,largest_losses,11
345,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.03684068087152076,False,True,largest_losses,12
780,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.026223767050197466,False,True,largest_losses,13
19,80,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,0.025417196992179928,False,True,largest_losses,14
870,80,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage10_w6,0.022863779235024136,False,True,largest_losses,15
975,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.02196624854974516,False,True,largest_losses,16
131,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.02137730303678609,False,True,largest_losses,17
462,80,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.020424106418591492,False,True,largest_losses,18
384,79,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.019368207543383417,False,True,largest_losses,19
888,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.015618026738934532,False,True,largest_losses,20
462,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.993742967071441,True,False,largest_improvements,1
19,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.5810441569715294,True,False,largest_improvements,2
384,82,primary_d0adb13a6bdf,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w4,mlp_up_gate_all_blocks_stage4_w4,-0.5279563083001337,True,False,largest_improvements,3
568,80,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.47294418894695045,True,False,largest_improvements,4
131,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.36774391488779656,True,False,largest_improvements,5
384,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.3623123898561608,True,False,largest_improvements,6
568,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.2536107929746975,True,False,largest_improvements,7
568,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.23622342956520012,True,False,largest_improvements,8
888,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.20710712799147754,True,False,largest_improvements,9
780,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.16493956672934473,True,False,largest_improvements,10
384,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.13627560553493367,True,False,largest_improvements,11
870,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.12513182774455345,True,False,largest_improvements,12
780,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.12454283687469567,True,False,largest_improvements,13
870,82,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.1201768583923695,True,False,largest_improvements,14
712,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.11756197381990666,True,False,largest_improvements,15
19,80,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.11365134000378416,True,False,largest_improvements,16
85,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.10474052644612183,True,False,largest_improvements,17
