table,metric,key,main,independent,abs_diff,relative_diff,tolerance,scaled_error,passed,checked_rows
class_endpoints,value,"[""19"", ""energy"", ""absolute_regret""]",0.42029250697483345,0.42029250697483345,0.0,0.0,4.302925069748335e-11,0.0,True,384
decision_changes,absolute_difference,"[""19"", ""79"", ""primary_494f26df6416"", ""candidate_B"", ""stage_only""]",-0.045778057647737555,-0.045778057647737555,0.0,0.0,5.577805764773755e-12,0.0,True,2289
decision_changes,helped,"[""19"", ""79"", ""primary_494f26df6416"", ""candidate_B"", ""stage_only""]",True,True,0,,0,0,True,2289
decision_changes,hurt,"[""19"", ""79"", ""primary_494f26df6416"", ""candidate_B"", ""stage_only""]",False,False,0,,0,0,True,2289
decision_changes,selected_left,"[""19"", ""79"", ""primary_494f26df6416"", ""candidate_B"", ""stage_only""]",attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage4_w4,0,,0,0,True,2289
decision_changes,selected_right,"[""19"", ""79"", ""primary_494f26df6416"", ""candidate_B"", ""stage_only""]",attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage15_w4,0,,0,0,True,2289
decisions,absolute_regret,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",0.02031685194714328,0.02031685194714328,0.0,0.0,3.031685194714328e-12,0.0,True,13824
decisions,normalized_regret,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",1.0,1.0,0.0,0.0,1.01e-10,0.0,True,13824
decisions,oracle,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage15_w8,0,,0,0,True,13824
decisions,oracle_Y,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",0.0028899545882836723,0.0028899545882836723,0.0,0.0,1.2889954588283673e-12,0.0,True,13824
decisions,oracle_hit,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",0.0,0.0,0.0,0.0,1e-12,0.0,True,13824
decisions,range_tau,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",1e-12,1e-12,0.0,0.0,1.0000000001e-12,0.0,True,13824
decisions,resolved,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",True,True,0,,0,0,True,13824
decisions,risk_range,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",0.02031685194714328,0.02031685194714328,0.0,0.0,3.031685194714328e-12,0.0,True,13824
decisions,selected,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",mlp_up_gate_all_blocks_stage4_w8,mlp_up_gate_all_blocks_stage4_w8,0,,0,0,True,13824
decisions,selected_Y,"[""primary"", ""19"", ""79"", ""primary_019d7c31a48b"", ""energy""]",0.023206806535426953,0.023206806535426953,0.0,0.0,3.3206806535426957e-12,0.0,True,13824
manifest,indices_sha256,"""bootstrap""",2f110408df13144fbe6302ff3d52705bcb1965734593261b54c7e78c3e760a77,2f110408df13144fbe6302ff3d52705bcb1965734593261b54c7e78c3e760a77,0,,0,0,True,1
paired_comparisons,changed_equal_risk_units,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",0,0,0,,0,0,True,26
paired_comparisons,changed_units,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",78,78,0,,0,0,True,26
paired_comparisons,complete,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",True,True,0,,0,0,True,26
paired_comparisons,helped_units,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",40,40,0,,0,0,True,26
paired_comparisons,high,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",0.003077303611735431,0.003077303611735431,0.0,0.0,1.3077303611735431e-12,0.0,True,26
paired_comparisons,hurt_units,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",38,38,0,,0,0,True,26
paired_comparisons,improving_classes,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",10,10,0,,0,0,True,26
paired_comparisons,low,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",-0.0037186439865912863,-0.0037186439865912863,0.0,0.0,1.3718643986591286e-12,0.0,True,26
paired_comparisons,lower95,"[""primary"", ""candidate_B"", ""stage_only"", ""absolute_regret""]",-0.003305477341974356,-0.003305477341974356,0.0,0.0,1.3305477341974355e-12,0.0,True,26
