left,right,metric,family,complete,changed_units,helped_units,hurt_units,changed_equal_risk_units,unit_count,negative_means,point,low,high,lower95,upper95,improving_classes,tied_classes,worse_classes
candidate_B,stage_only,absolute_regret,primary,True,78,40,38,0,1728,left_improves,-0.0006648811291579525,-0.0037186439865912863,0.003077303611735431,-0.003305477341974356,0.002431905939665401,10,0,6
candidate_B,stage_only,normalized_regret,primary,True,78,40,38,0,1728,left_improves,-0.0014458050281148955,-0.006577687386275054,0.004109666134634871,-0.005791942342792528,0.003158950696763691,9,0,7
aligned_actual_source,stage_only,absolute_regret,primary,True,78,40,38,0,1728,left_improves,-0.0006648811291579525,-0.0037186439865912863,0.003077303611735431,-0.003305477341974356,0.002431905939665401,10,0,6
aligned_actual_source,stage_only,normalized_regret,primary,True,78,40,38,0,1728,left_improves,-0.0014458050281148955,-0.006577687386275054,0.004109666134634871,-0.005791942342792528,0.003158950696763691,9,0,7
aligned_actual_source,aligned_donor_source,absolute_regret,primary,True,210,114,96,0,1728,left_improves,0.1321690782458753,-0.012877940731978475,0.3611582854856027,-0.002049727481772,0.33348913118681944,9,0,7
aligned_actual_source,aligned_donor_source,normalized_regret,primary,True,210,114,96,0,1728,left_improves,-0.010317702913456555,-0.023485913320608,0.002684836840516872,-0.021285525639980294,0.0008682855730665614,10,0,6
aligned_donor_source,aligned_isotropic_source,absolute_regret,primary,True,173,131,42,0,1728,left_improves,-0.2101608653779622,-0.4398547866565774,-0.05231510495171285,-0.3999671987897291,-0.06535854366644077,15,0,1
aligned_donor_source,aligned_isotropic_source,normalized_regret,primary,True,173,131,42,0,1728,left_improves,-0.03685916515811938,-0.04697496081537832,-0.026536619290047768,-0.04550011061716311,-0.028198153779883207,15,0,1
aligned_actual_source,aligned_isotropic_source,absolute_regret,primary,True,248,179,69,0,1728,left_improves,-0.07799178713208693,-0.12701493274895095,-0.03909434152560855,-0.1182104593150925,-0.04373041261211275,16,0,0
aligned_actual_source,aligned_isotropic_source,normalized_regret,primary,True,248,179,69,0,1728,left_improves,-0.047176868071575936,-0.058208956337211376,-0.03621702458960404,-0.056358499431132456,-0.03800575536811489,16,0,0
stage_only,constant,absolute_regret,primary,True,86,49,37,0,1728,left_improves,-0.023656469508012576,-0.04762935461912414,-0.004651881404970953,-0.043522616434718615,-0.006767977980312402,11,0,5
stage_only,constant,normalized_regret,primary,True,86,49,37,0,1728,left_improves,-0.0014358941788011146,-0.005226553731593029,0.002411927357477601,-0.004597196161274145,0.0017658037510536622,7,0,9
stage_only,latest_stage,absolute_regret,primary,True,182,102,80,0,1728,left_improves,0.16727285335226588,0.02643078328535685,0.3890739252660776,0.03575607029495958,0.360426845617224,3,0,13
stage_only,latest_stage,normalized_regret,primary,True,182,102,80,0,1728,left_improves,-0.007645491550687661,-0.018945923041947678,0.0033567849350057332,-0.017291846713927347,0.0016829941317745437,7,0,9
aligned_actual_source,constant,absolute_regret,primary,True,105,58,47,0,1728,left_improves,-0.02432135063717053,-0.0480948751798094,-0.005404854804544896,-0.04377348463162365,-0.0075778363024534764,14,0,2
aligned_actual_source,constant,normalized_regret,primary,True,105,58,47,0,1728,left_improves,-0.00288169920691601,-0.007259929746287337,0.00186947709713514,-0.006513637094826773,0.001118980451152143,11,0,5
aligned_actual_source,latest_stage,absolute_regret,primary,True,162,92,70,0,1728,left_improves,0.16660797222310794,0.024958945016602403,0.3888285455491857,0.03477954190836112,0.35906578334457795,4,0,12
aligned_actual_source,latest_stage,normalized_regret,primary,True,162,92,70,0,1728,left_improves,-0.009091296578802557,-0.020609188000857145,0.0029676832665756535,-0.019000496663491427,0.0009262367388192228,10,0,6
aligned_donor_source,constant,absolute_regret,primary,True,184,89,95,0,1728,left_improves,-0.15649042888304582,-0.38747401451455354,-0.004207002827080864,-0.3532400296946983,-0.016248574282888055,9,0,7
aligned_donor_source,constant,normalized_regret,primary,True,184,89,95,0,1728,left_improves,0.007436003706540544,-0.003913141714338912,0.018482633111318526,-0.001999821987877107,0.016782980294742265,5,0,11
aligned_donor_source,latest_stage,absolute_regret,primary,True,207,105,102,0,1728,left_improves,0.03443889397723267,0.015467269646948171,0.05442598233042821,0.01842825772949134,0.051298337768366925,3,0,13
aligned_donor_source,latest_stage,normalized_regret,primary,True,207,105,102,0,1728,left_improves,0.0012264063346539972,-0.009140337255594247,0.011340541445391523,-0.007304413206987002,0.00979728933527785,8,0,8
aligned_isotropic_source,constant,absolute_regret,primary,True,223,61,162,0,1728,left_improves,0.0536704364949164,0.012542252204389055,0.09825094512822234,0.018696743803430445,0.09092104333021653,3,0,13
aligned_isotropic_source,constant,normalized_regret,primary,True,223,61,162,0,1728,left_improves,0.04429516886465992,0.03494799928885278,0.05333244271020956,0.03649882886941841,0.052007999386019514,0,0,16
aligned_isotropic_source,latest_stage,absolute_regret,primary,True,353,135,218,0,1728,left_improves,0.24459975935519487,0.08788974575079915,0.46837636734010224,0.10299409960268614,0.4285410039933408,0,0,16
aligned_isotropic_source,latest_stage,normalized_regret,primary,True,353,135,218,0,1728,left_improves,0.038085571492773376,0.024267114838453355,0.05090216792511045,0.02662020841136041,0.04917874467820257,2,0,14
