family,set_id,cell_id,candidate_count,saving_bits,packed_bits
primary,primary_a8226b7ab73c,adaln_conditioning_all_blocks_stage4_w8,3,363331584,363331584
primary,primary_a8226b7ab73c,adaln_conditioning_all_blocks_stage10_w8,3,363331584,363331584
primary,primary_a8226b7ab73c,adaln_conditioning_all_blocks_stage15_w8,3,363331584,363331584
primary,primary_da06c09aa41a,adaln_conditioning_all_blocks_stage4_w6,3,454164480,272498688
primary,primary_da06c09aa41a,adaln_conditioning_all_blocks_stage10_w6,3,454164480,272498688
primary,primary_da06c09aa41a,adaln_conditioning_all_blocks_stage15_w6,3,454164480,272498688
primary,primary_ec9365fcc9ef,adaln_conditioning_all_blocks_stage4_w4,3,544997376,181665792
primary,primary_ec9365fcc9ef,adaln_conditioning_all_blocks_stage10_w4,3,544997376,181665792
primary,primary_ec9365fcc9ef,adaln_conditioning_all_blocks_stage15_w4,3,544997376,181665792
primary,primary_98d1f6d8741d,adaln_modulation_projection_all_blocks_stage4_w8,3,1783627776,1783627776
primary,primary_98d1f6d8741d,adaln_modulation_projection_all_blocks_stage10_w8,3,1783627776,1783627776
primary,primary_98d1f6d8741d,adaln_modulation_projection_all_blocks_stage15_w8,3,1783627776,1783627776
primary,primary_5e743138a0d1,adaln_modulation_projection_all_blocks_stage4_w6,3,2229534720,1337720832
primary,primary_5e743138a0d1,adaln_modulation_projection_all_blocks_stage10_w6,3,2229534720,1337720832
primary,primary_5e743138a0d1,adaln_modulation_projection_all_blocks_stage15_w6,3,2229534720,1337720832
primary,primary_9688e435275c,adaln_modulation_projection_all_blocks_stage4_w4,3,2675441664,891813888
primary,primary_9688e435275c,adaln_modulation_projection_all_blocks_stage10_w4,3,2675441664,891813888
primary,primary_9688e435275c,adaln_modulation_projection_all_blocks_stage15_w4,3,2675441664,891813888
primary,primary_903cdd7eae0a,attention_output_all_blocks_stage4_w8,3,297271296,297271296
primary,primary_903cdd7eae0a,attention_output_all_blocks_stage10_w8,3,297271296,297271296
primary,primary_903cdd7eae0a,attention_output_all_blocks_stage15_w8,3,297271296,297271296
