family,set_id,predictor,cell_id,count,total,frequency,entropy_bits,majority_rate,distinct_candidates
primary,primary_019d7c31a48b,oracle,mlp_up_gate_all_blocks_stage15_w8,63,64,0.984375,0.11611507530476972,0.984375,2
primary,primary_019d7c31a48b,oracle,mlp_up_gate_all_blocks_stage10_w8,1,64,0.015625,0.11611507530476972,0.984375,2
primary,primary_019d7c31a48b,constant,mlp_up_gate_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_019d7c31a48b,energy,mlp_up_gate_all_blocks_stage4_w8,61,64,0.953125,0.27297085791406983,0.953125,2
primary,primary_019d7c31a48b,energy,mlp_up_gate_all_blocks_stage10_w8,3,64,0.046875,0.27297085791406983,0.953125,2
primary,primary_019d7c31a48b,candidate_B,mlp_up_gate_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_019d7c31a48b,hybrid,mlp_up_gate_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_39fca70e9e59,oracle,input_patch_projection_stage15_w4,63,64,0.984375,0.11611507530476972,0.984375,2
primary,primary_39fca70e9e59,oracle,input_patch_projection_stage10_w4,1,64,0.015625,0.11611507530476972,0.984375,2
primary,primary_39fca70e9e59,constant,input_patch_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_39fca70e9e59,energy,input_patch_projection_stage15_w4,58,64,0.90625,0.4488644887230294,0.90625,2
primary,primary_39fca70e9e59,energy,input_patch_projection_stage10_w4,6,64,0.09375,0.4488644887230294,0.90625,2
primary,primary_39fca70e9e59,candidate_B,input_patch_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_39fca70e9e59,hybrid,input_patch_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_459b032d584a,oracle,qkv_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_459b032d584a,constant,qkv_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_459b032d584a,energy,qkv_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_459b032d584a,candidate_B,qkv_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_459b032d584a,hybrid,qkv_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_494f26df6416,oracle,attention_output_all_blocks_stage15_w4,30,64,0.46875,1.386872423733243,0.46875,3
primary,primary_494f26df6416,oracle,attention_output_all_blocks_stage4_w4,27,64,0.421875,1.386872423733243,0.46875,3
primary,primary_494f26df6416,oracle,attention_output_all_blocks_stage10_w4,7,64,0.109375,1.386872423733243,0.46875,3
primary,primary_494f26df6416,constant,attention_output_all_blocks_stage4_w4,64,64,1.0,-0.0,1.0,1
primary,primary_494f26df6416,energy,attention_output_all_blocks_stage4_w4,45,64,0.703125,0.877437311089633,0.703125,2
primary,primary_494f26df6416,energy,attention_output_all_blocks_stage10_w4,19,64,0.296875,0.877437311089633,0.703125,2
primary,primary_494f26df6416,candidate_B,attention_output_all_blocks_stage15_w4,32,64,0.5,1.1003111621563573,0.5,3
primary,primary_494f26df6416,candidate_B,attention_output_all_blocks_stage4_w4,31,64,0.484375,1.1003111621563573,0.5,3
primary,primary_494f26df6416,candidate_B,attention_output_all_blocks_stage10_w4,1,64,0.015625,1.1003111621563573,0.5,3
primary,primary_494f26df6416,hybrid,attention_output_all_blocks_stage15_w4,32,64,0.5,1.1003111621563573,0.5,3
primary,primary_494f26df6416,hybrid,attention_output_all_blocks_stage4_w4,31,64,0.484375,1.1003111621563573,0.5,3
primary,primary_494f26df6416,hybrid,attention_output_all_blocks_stage10_w4,1,64,0.015625,1.1003111621563573,0.5,3
primary,primary_52112c337d08,oracle,attention_output_all_blocks_stage15_w6,47,64,0.734375,1.083918768153341,0.734375,3
primary,primary_52112c337d08,oracle,attention_output_all_blocks_stage10_w6,11,64,0.171875,1.083918768153341,0.734375,3
primary,primary_52112c337d08,oracle,attention_output_all_blocks_stage4_w6,6,64,0.09375,1.083918768153341,0.734375,3
primary,primary_52112c337d08,constant,attention_output_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_52112c337d08,energy,attention_output_all_blocks_stage4_w6,52,64,0.8125,0.6962122601251458,0.8125,2
primary,primary_52112c337d08,energy,attention_output_all_blocks_stage10_w6,12,64,0.1875,0.6962122601251458,0.8125,2
primary,primary_52112c337d08,candidate_B,attention_output_all_blocks_stage15_w6,51,64,0.796875,0.7281342378690551,0.796875,2
primary,primary_52112c337d08,candidate_B,attention_output_all_blocks_stage4_w6,13,64,0.203125,0.7281342378690551,0.796875,2
primary,primary_52112c337d08,hybrid,attention_output_all_blocks_stage15_w6,51,64,0.796875,0.7281342378690551,0.796875,2
primary,primary_52112c337d08,hybrid,attention_output_all_blocks_stage4_w6,13,64,0.203125,0.7281342378690551,0.796875,2
primary,primary_5303e1fccdc7,oracle,mlp_down_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_5303e1fccdc7,constant,mlp_down_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_5303e1fccdc7,energy,mlp_down_all_blocks_stage10_w8,46,64,0.71875,1.1154191407561969,0.71875,3
primary,primary_5303e1fccdc7,energy,mlp_down_all_blocks_stage4_w8,12,64,0.1875,1.1154191407561969,0.71875,3
primary,primary_5303e1fccdc7,energy,mlp_down_all_blocks_stage15_w8,6,64,0.09375,1.1154191407561969,0.71875,3
primary,primary_5303e1fccdc7,candidate_B,mlp_down_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_5303e1fccdc7,hybrid,mlp_down_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_58a05bddec17,oracle,output_conditioning_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_58a05bddec17,constant,output_conditioning_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_58a05bddec17,energy,output_conditioning_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_58a05bddec17,candidate_B,output_conditioning_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_58a05bddec17,hybrid,output_conditioning_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_59152023723c,oracle,qkv_all_blocks_stage15_w4,61,64,0.953125,0.27297085791406983,0.953125,2
primary,primary_59152023723c,oracle,qkv_all_blocks_stage10_w4,3,64,0.046875,0.27297085791406983,0.953125,2
primary,primary_59152023723c,constant,qkv_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_59152023723c,energy,qkv_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_59152023723c,candidate_B,qkv_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_59152023723c,hybrid,qkv_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_5e743138a0d1,oracle,adaln_modulation_projection_all_blocks_stage15_w6,63,64,0.984375,0.11611507530476972,0.984375,2
primary,primary_5e743138a0d1,oracle,adaln_modulation_projection_all_blocks_stage10_w6,1,64,0.015625,0.11611507530476972,0.984375,2
primary,primary_5e743138a0d1,constant,adaln_modulation_projection_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_5e743138a0d1,energy,adaln_modulation_projection_all_blocks_stage15_w6,60,64,0.9375,0.3372900666170139,0.9375,2
primary,primary_5e743138a0d1,energy,adaln_modulation_projection_all_blocks_stage10_w6,4,64,0.0625,0.3372900666170139,0.9375,2
primary,primary_5e743138a0d1,candidate_B,adaln_modulation_projection_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_5e743138a0d1,hybrid,adaln_modulation_projection_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_6c830b5fb730,oracle,input_patch_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_6c830b5fb730,constant,input_patch_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_6c830b5fb730,energy,input_patch_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_6c830b5fb730,candidate_B,input_patch_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_6c830b5fb730,hybrid,input_patch_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_705fa28644fa,oracle,output_conditioning_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_705fa28644fa,constant,output_conditioning_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_705fa28644fa,energy,output_conditioning_projection_stage15_w6,61,64,0.953125,0.27297085791406983,0.953125,2
primary,primary_705fa28644fa,energy,output_conditioning_projection_stage10_w6,3,64,0.046875,0.27297085791406983,0.953125,2
primary,primary_705fa28644fa,candidate_B,output_conditioning_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_705fa28644fa,hybrid,output_conditioning_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_78aa853a8dcb,oracle,output_head_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_78aa853a8dcb,constant,output_head_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_78aa853a8dcb,energy,output_head_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_78aa853a8dcb,candidate_B,output_head_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_78aa853a8dcb,hybrid,output_head_projection_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_8748e8c257a6,oracle,output_head_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_8748e8c257a6,constant,output_head_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_8748e8c257a6,energy,output_head_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_8748e8c257a6,candidate_B,output_head_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_8748e8c257a6,hybrid,output_head_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_8bc97f489508,oracle,output_conditioning_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_8bc97f489508,constant,output_conditioning_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_8bc97f489508,energy,output_conditioning_projection_stage15_w8,34,64,0.53125,1.2170220833892396,0.53125,3
primary,primary_8bc97f489508,energy,output_conditioning_projection_stage10_w8,27,64,0.421875,1.2170220833892396,0.53125,3
primary,primary_8bc97f489508,energy,output_conditioning_projection_stage4_w8,3,64,0.046875,1.2170220833892396,0.53125,3
primary,primary_8bc97f489508,candidate_B,output_conditioning_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_8bc97f489508,hybrid,output_conditioning_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_903cdd7eae0a,oracle,attention_output_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_903cdd7eae0a,constant,attention_output_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_903cdd7eae0a,energy,attention_output_all_blocks_stage4_w8,51,64,0.796875,0.7281342378690551,0.796875,2
primary,primary_903cdd7eae0a,energy,attention_output_all_blocks_stage10_w8,13,64,0.203125,0.7281342378690551,0.796875,2
primary,primary_903cdd7eae0a,candidate_B,attention_output_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_903cdd7eae0a,hybrid,attention_output_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_9688e435275c,oracle,adaln_modulation_projection_all_blocks_stage15_w4,61,64,0.953125,0.27297085791406983,0.953125,2
primary,primary_9688e435275c,oracle,adaln_modulation_projection_all_blocks_stage10_w4,3,64,0.046875,0.27297085791406983,0.953125,2
primary,primary_9688e435275c,constant,adaln_modulation_projection_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_9688e435275c,energy,adaln_modulation_projection_all_blocks_stage10_w4,43,64,0.671875,0.9129992135852473,0.671875,2
primary,primary_9688e435275c,energy,adaln_modulation_projection_all_blocks_stage15_w4,21,64,0.328125,0.9129992135852473,0.671875,2
primary,primary_9688e435275c,candidate_B,adaln_modulation_projection_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_9688e435275c,hybrid,adaln_modulation_projection_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_98d1f6d8741d,oracle,adaln_modulation_projection_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_98d1f6d8741d,constant,adaln_modulation_projection_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_98d1f6d8741d,energy,adaln_modulation_projection_all_blocks_stage10_w8,43,64,0.671875,0.9129992135852473,0.671875,2
primary,primary_98d1f6d8741d,energy,adaln_modulation_projection_all_blocks_stage15_w8,21,64,0.328125,0.9129992135852473,0.671875,2
primary,primary_98d1f6d8741d,candidate_B,adaln_modulation_projection_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_98d1f6d8741d,hybrid,adaln_modulation_projection_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_a8226b7ab73c,oracle,adaln_conditioning_all_blocks_stage15_w8,63,64,0.984375,0.11611507530476972,0.984375,2
primary,primary_a8226b7ab73c,oracle,adaln_conditioning_all_blocks_stage10_w8,1,64,0.015625,0.11611507530476972,0.984375,2
primary,primary_a8226b7ab73c,constant,adaln_conditioning_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_a8226b7ab73c,energy,adaln_conditioning_all_blocks_stage10_w8,61,64,0.953125,0.27297085791406983,0.953125,2
primary,primary_a8226b7ab73c,energy,adaln_conditioning_all_blocks_stage4_w8,3,64,0.046875,0.27297085791406983,0.953125,2
primary,primary_a8226b7ab73c,candidate_B,adaln_conditioning_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_a8226b7ab73c,hybrid,adaln_conditioning_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_abefa8b91ecd,oracle,mlp_down_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_abefa8b91ecd,constant,mlp_down_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_abefa8b91ecd,energy,mlp_down_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_abefa8b91ecd,candidate_B,mlp_down_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_abefa8b91ecd,hybrid,mlp_down_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_c3b87c54a36d,oracle,qkv_all_blocks_stage15_w6,61,64,0.953125,0.27297085791406983,0.953125,2
primary,primary_c3b87c54a36d,oracle,qkv_all_blocks_stage10_w6,3,64,0.046875,0.27297085791406983,0.953125,2
primary,primary_c3b87c54a36d,constant,qkv_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_c3b87c54a36d,energy,qkv_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_c3b87c54a36d,candidate_B,qkv_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_c3b87c54a36d,hybrid,qkv_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_d0adb13a6bdf,oracle,mlp_up_gate_all_blocks_stage4_w4,32,64,0.5,1.2244322443615145,0.5,3
primary,primary_d0adb13a6bdf,oracle,mlp_up_gate_all_blocks_stage15_w4,29,64,0.453125,1.2244322443615145,0.5,3
primary,primary_d0adb13a6bdf,oracle,mlp_up_gate_all_blocks_stage10_w4,3,64,0.046875,1.2244322443615145,0.5,3
primary,primary_d0adb13a6bdf,constant,mlp_up_gate_all_blocks_stage4_w4,64,64,1.0,-0.0,1.0,1
primary,primary_d0adb13a6bdf,energy,mlp_up_gate_all_blocks_stage4_w4,64,64,1.0,-0.0,1.0,1
primary,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage4_w4,61,64,0.953125,0.27297085791406983,0.953125,2
primary,primary_d0adb13a6bdf,candidate_B,mlp_up_gate_all_blocks_stage15_w4,3,64,0.046875,0.27297085791406983,0.953125,2
primary,primary_d0adb13a6bdf,hybrid,mlp_up_gate_all_blocks_stage4_w4,61,64,0.953125,0.27297085791406983,0.953125,2
primary,primary_d0adb13a6bdf,hybrid,mlp_up_gate_all_blocks_stage15_w4,3,64,0.046875,0.27297085791406983,0.953125,2
primary,primary_d82bcfdaeedc,oracle,mlp_up_gate_all_blocks_stage15_w6,33,64,0.515625,1.3426377236324372,0.515625,3
primary,primary_d82bcfdaeedc,oracle,mlp_up_gate_all_blocks_stage4_w6,25,64,0.390625,1.3426377236324372,0.515625,3
primary,primary_d82bcfdaeedc,oracle,mlp_up_gate_all_blocks_stage10_w6,6,64,0.09375,1.3426377236324372,0.515625,3
primary,primary_d82bcfdaeedc,constant,mlp_up_gate_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_d82bcfdaeedc,energy,mlp_up_gate_all_blocks_stage4_w6,63,64,0.984375,0.11611507530476972,0.984375,2
primary,primary_d82bcfdaeedc,energy,mlp_up_gate_all_blocks_stage10_w6,1,64,0.015625,0.11611507530476972,0.984375,2
primary,primary_d82bcfdaeedc,candidate_B,mlp_up_gate_all_blocks_stage15_w6,40,64,0.625,0.9544340029249649,0.625,2
primary,primary_d82bcfdaeedc,candidate_B,mlp_up_gate_all_blocks_stage4_w6,24,64,0.375,0.9544340029249649,0.625,2
primary,primary_d82bcfdaeedc,hybrid,mlp_up_gate_all_blocks_stage15_w6,40,64,0.625,0.9544340029249649,0.625,2
primary,primary_d82bcfdaeedc,hybrid,mlp_up_gate_all_blocks_stage4_w6,24,64,0.375,0.9544340029249649,0.625,2
primary,primary_da06c09aa41a,oracle,adaln_conditioning_all_blocks_stage10_w6,37,64,0.578125,1.3835011909624917,0.578125,3
primary,primary_da06c09aa41a,oracle,adaln_conditioning_all_blocks_stage15_w6,17,64,0.265625,1.3835011909624917,0.578125,3
primary,primary_da06c09aa41a,oracle,adaln_conditioning_all_blocks_stage4_w6,10,64,0.15625,1.3835011909624917,0.578125,3
primary,primary_da06c09aa41a,constant,adaln_conditioning_all_blocks_stage10_w6,64,64,1.0,-0.0,1.0,1
primary,primary_da06c09aa41a,energy,adaln_conditioning_all_blocks_stage10_w6,63,64,0.984375,0.11611507530476972,0.984375,2
primary,primary_da06c09aa41a,energy,adaln_conditioning_all_blocks_stage4_w6,1,64,0.015625,0.11611507530476972,0.984375,2
primary,primary_da06c09aa41a,candidate_B,adaln_conditioning_all_blocks_stage15_w6,32,64,0.5,1.0,0.5,2
primary,primary_da06c09aa41a,candidate_B,adaln_conditioning_all_blocks_stage10_w6,32,64,0.5,1.0,0.5,2
primary,primary_da06c09aa41a,hybrid,adaln_conditioning_all_blocks_stage15_w6,32,64,0.5,1.0,0.5,2
primary,primary_da06c09aa41a,hybrid,adaln_conditioning_all_blocks_stage10_w6,32,64,0.5,1.0,0.5,2
primary,primary_e3ec35ff3518,oracle,input_patch_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_e3ec35ff3518,constant,input_patch_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_e3ec35ff3518,energy,input_patch_projection_stage15_w8,57,64,0.890625,0.4980278865344765,0.890625,2
primary,primary_e3ec35ff3518,energy,input_patch_projection_stage10_w8,7,64,0.109375,0.4980278865344765,0.890625,2
primary,primary_e3ec35ff3518,candidate_B,input_patch_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_e3ec35ff3518,hybrid,input_patch_projection_stage15_w8,64,64,1.0,-0.0,1.0,1
primary,primary_ec9365fcc9ef,oracle,adaln_conditioning_all_blocks_stage15_w4,52,64,0.8125,0.6962122601251458,0.8125,2
primary,primary_ec9365fcc9ef,oracle,adaln_conditioning_all_blocks_stage10_w4,12,64,0.1875,0.6962122601251458,0.8125,2
primary,primary_ec9365fcc9ef,constant,adaln_conditioning_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_ec9365fcc9ef,energy,adaln_conditioning_all_blocks_stage10_w4,63,64,0.984375,0.11611507530476972,0.984375,2
primary,primary_ec9365fcc9ef,energy,adaln_conditioning_all_blocks_stage15_w4,1,64,0.015625,0.11611507530476972,0.984375,2
primary,primary_ec9365fcc9ef,candidate_B,adaln_conditioning_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_ec9365fcc9ef,hybrid,adaln_conditioning_all_blocks_stage15_w4,64,64,1.0,-0.0,1.0,1
primary,primary_f52ef9bf6b5e,oracle,output_head_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f52ef9bf6b5e,constant,output_head_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f52ef9bf6b5e,energy,output_head_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f52ef9bf6b5e,candidate_B,output_head_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f52ef9bf6b5e,hybrid,output_head_projection_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f948566cda47,oracle,mlp_down_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f948566cda47,constant,mlp_down_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f948566cda47,energy,mlp_down_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f948566cda47,candidate_B,mlp_down_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
primary,primary_f948566cda47,hybrid,mlp_down_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
secondary,secondary_7a8a54251303,oracle,mlp_up_gate_all_blocks_stage15_w8,45,64,0.703125,0.877437311089633,0.703125,2
secondary,secondary_7a8a54251303,oracle,mlp_down_all_blocks_stage15_w8,19,64,0.296875,0.877437311089633,0.703125,2
secondary,secondary_7a8a54251303,constant,mlp_up_gate_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
secondary,secondary_7a8a54251303,energy,mlp_up_gate_all_blocks_stage4_w8,61,64,0.953125,0.27297085791406983,0.953125,2
secondary,secondary_7a8a54251303,energy,mlp_up_gate_all_blocks_stage10_w8,3,64,0.046875,0.27297085791406983,0.953125,2
secondary,secondary_7a8a54251303,candidate_B,mlp_up_gate_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
secondary,secondary_7a8a54251303,hybrid,mlp_up_gate_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
secondary,secondary_95a10220b59f,oracle,adaln_modulation_projection_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
secondary,secondary_95a10220b59f,constant,adaln_modulation_projection_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
secondary,secondary_95a10220b59f,energy,adaln_modulation_projection_all_blocks_stage10_w8,43,64,0.671875,0.9129992135852473,0.671875,2
secondary,secondary_95a10220b59f,energy,adaln_modulation_projection_all_blocks_stage15_w8,21,64,0.328125,0.9129992135852473,0.671875,2
secondary,secondary_95a10220b59f,candidate_B,adaln_modulation_projection_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
secondary,secondary_95a10220b59f,hybrid,adaln_modulation_projection_all_blocks_stage15_w8,64,64,1.0,-0.0,1.0,1
secondary,secondary_afe402dafe1f,oracle,mlp_up_gate_all_blocks_stage15_w6,33,64,0.515625,1.3426377236324372,0.515625,3
secondary,secondary_afe402dafe1f,oracle,mlp_up_gate_all_blocks_stage4_w6,25,64,0.390625,1.3426377236324372,0.515625,3
secondary,secondary_afe402dafe1f,oracle,mlp_up_gate_all_blocks_stage10_w6,6,64,0.09375,1.3426377236324372,0.515625,3
secondary,secondary_afe402dafe1f,constant,mlp_up_gate_all_blocks_stage15_w6,64,64,1.0,-0.0,1.0,1
secondary,secondary_afe402dafe1f,energy,mlp_up_gate_all_blocks_stage4_w6,63,64,0.984375,0.11611507530476972,0.984375,2
