family,predictor,metric,point,low,high,lower95,upper95
primary,constant,absolute_regret,0.2108042844121087,0.06302953650198005,0.4368094971345909,0.07416036900513634,0.4025870736935533
primary,constant,normalized_regret,0.04601709222557546,0.04157486394060079,0.05073311387090411,0.04222249751419234,0.04994255968939477
primary,constant,oracle_hit,0.9021990740740741,0.8912037037037037,0.9131944444444444,0.8929398148148149,0.9114583333333333
primary,energy,absolute_regret,0.2928082242741966,0.12929630935998296,0.5305891380520671,0.14370072445777607,0.49064065508748406
primary,energy,normalized_regret,0.18515315058673593,0.1738694999988509,0.19630914744397476,0.17545541595238162,0.19453249541508885
primary,energy,oracle_hit,0.6325231481481481,0.6157407407407407,0.6498842592592593,0.6180555555555556,0.6469907407407407
primary,candidate_B,absolute_regret,0.18648293377493813,0.04735443295013846,0.40853177105929345,0.0562652540654004,0.381590627317738
primary,candidate_B,normalized_regret,0.04313539301865944,0.036872847906117195,0.04965797664841739,0.03775412281222877,0.048614744917540385
primary,candidate_B,oracle_hit,0.90625,0.8952546296296297,0.9166666666666666,0.8969907407407407,0.9149305555555556
primary,hybrid,absolute_regret,0.18648293377493813,0.04735443295013846,0.40853177105929345,0.0562652540654004,0.381590627317738
primary,hybrid,normalized_regret,0.04313539301865944,0.036872847906117195,0.04965797664841739,0.03775412281222877,0.048614744917540385
primary,hybrid,oracle_hit,0.90625,0.8952546296296297,0.9166666666666666,0.8969907407407407,0.9149305555555556
secondary,constant,absolute_regret,0.002373973169184769,0.00157245794835463,0.003278898804148255,0.0016953983989225151,0.0031230961891513353
secondary,constant,normalized_regret,0.0018863668501639319,0.0010682846609031016,0.0028707125824420023,0.0011924867066987809,0.002696518954333517
secondary,constant,oracle_hit,0.7395833333333333,0.6822916666666666,0.796875,0.6927083333333333,0.7864583333333333
secondary,energy,absolute_regret,0.09926530188813906,0.029447057313242857,0.20210204222015463,0.03546573970795938,0.1844767500160988
secondary,energy,normalized_regret,0.12350201697543256,0.09958317079505884,0.14763154287956473,0.10291221348935765,0.1436848319411951
secondary,energy,oracle_hit,0.24479166666666663,0.1875,0.3020833333333333,0.19791666666666663,0.29166666666666663
secondary,candidate_B,absolute_regret,0.02707817105703466,0.0041455138824420725,0.0573271549318416,0.005871369650529571,0.05225099220149816
secondary,candidate_B,normalized_regret,0.002668403963023441,0.001654291153411799,0.0037617277268120687,0.0017973449179005058,0.0035905243673244784
secondary,candidate_B,oracle_hit,0.75,0.7083333333333333,0.7916666666666666,0.7135416666666666,0.7864583333333333
secondary,hybrid,absolute_regret,0.02707817105703466,0.0041455138824420725,0.0573271549318416,0.005871369650529571,0.05225099220149816
secondary,hybrid,normalized_regret,0.002668403963023441,0.001654291153411799,0.0037617277268120687,0.0017973449179005058,0.0035905243673244784
secondary,hybrid,oracle_hit,0.75,0.7083333333333333,0.7916666666666666,0.7135416666666666,0.7864583333333333
