family,left,right,metric,positive_worsening,nonworse,negative_improvement,point,low,high,lower95,upper95
primary,hybrid,energy,absolute_regret,0,16,16,-0.10632529049925842,-0.16786024448240763,-0.057550379927504586,-0.15720188504818614,-0.06254773995491408
primary,hybrid,energy,normalized_regret,0,16,16,-0.14201775756807647,-0.1521565814937805,-0.1315622952068122,-0.15054363473471336,-0.13321274126887359
primary,hybrid,constant,absolute_regret,2,14,14,-0.02432135063717052,-0.04809487517980938,-0.005404854804544888,-0.043773484631623644,-0.007577836302453471
primary,hybrid,constant,normalized_regret,5,11,11,-0.0028816992069160114,-0.0072599297462873375,0.0018694770971351392,-0.006513637094826775,0.0011189804511521403
primary,candidate_B,energy,absolute_regret,0,16,16,-0.10632529049925842,-0.16786024448240763,-0.057550379927504586,-0.15720188504818614,-0.06254773995491408
primary,candidate_B,energy,normalized_regret,0,16,16,-0.14201775756807647,-0.1521565814937805,-0.1315622952068122,-0.15054363473471336,-0.13321274126887359
primary,candidate_B,constant,absolute_regret,2,14,14,-0.02432135063717052,-0.04809487517980938,-0.005404854804544888,-0.043773484631623644,-0.007577836302453471
primary,candidate_B,constant,normalized_regret,5,11,11,-0.0028816992069160114,-0.0072599297462873375,0.0018694770971351392,-0.006513637094826775,0.0011189804511521403
secondary,hybrid,energy,absolute_regret,0,16,16,-0.0721871308311044,-0.17155331590718623,-0.014912855208832416,-0.16455439711191996,-0.01719093967971706
secondary,hybrid,energy,normalized_regret,0,16,16,-0.12083361301240911,-0.1446644983988973,-0.09701140681204823,-0.1408082834823297,-0.10039128700770675
secondary,hybrid,constant,absolute_regret,8,8,7,0.02470419788784989,0.001641079449938281,0.05530125897891452,0.003205301032318233,0.050254479755755144
secondary,hybrid,constant,normalized_regret,8,8,7,0.0007820371128595089,2.466973154397053e-05,0.0017184796331044631,0.00014026115829355709,0.0015493521313035138
secondary,candidate_B,energy,absolute_regret,0,16,16,-0.0721871308311044,-0.17155331590718623,-0.014912855208832416,-0.16455439711191996,-0.01719093967971706
secondary,candidate_B,energy,normalized_regret,0,16,16,-0.12083361301240911,-0.1446644983988973,-0.09701140681204823,-0.1408082834823297,-0.10039128700770675
secondary,candidate_B,constant,absolute_regret,8,8,7,0.02470419788784989,0.001641079449938281,0.05530125897891452,0.003205301032318233,0.050254479755755144
secondary,candidate_B,constant,normalized_regret,8,8,7,0.0007820371128595089,2.466973154397053e-05,0.0017184796331044631,0.00014026115829355709,0.0015493521313035138
